[       5 points] regret_avg: 0.4988 | regret_pref: 1.0000 | reward_optimal: 0.4739 | reward_pref: -0.0249 | reward_npref: 0.1385
[      10 points] regret_avg: 0.9538 | regret_pref: 2.0000 | reward_optimal: 1.0163 | reward_pref: 0.0625 | reward_npref: 0.2327
[      15 points] regret_avg: 1.1180 | regret_pref: 2.0000 | reward_optimal: 1.4531 | reward_pref: 0.3352 | reward_npref: 0.4286
[      20 points] regret_avg: 1.3242 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.6434 | reward_npref: 0.7118
[      25 points] regret_avg: 1.7864 | regret_pref: 3.0000 | reward_optimal: 2.4806 | reward_pref: 0.6942 | reward_npref: 0.9374
[      30 points] regret_avg: 2.0679 | regret_pref: 3.0000 | reward_optimal: 2.8144 | reward_pref: 0.7465 | reward_npref: 0.9554
[      35 points] regret_avg: 2.0679 | regret_pref: 3.0000 | reward_optimal: 3.6201 | reward_pref: 1.5522 | reward_npref: 1.3970
[      40 points] regret_avg: 2.3748 | regret_pref: 3.0000 | reward_optimal: 3.8483 | reward_pref: 1.4736 | reward_npref: 1.2240
[      45 points] regret_avg: 2.5945 | regret_pref: 3.0000 | reward_optimal: 4.3113 | reward_pref: 1.7167 | reward_npref: 1.3658
[      50 points] regret_avg: 2.9706 | regret_pref: 3.0000 | reward_optimal: 4.6257 | reward_pref: 1.6551 | reward_npref: 1.1548
[      55 points] regret_avg: 3.4627 | regret_pref: 4.0000 | reward_optimal: 4.9860 | reward_pref: 1.5233 | reward_npref: 1.1616
[      60 points] regret_avg: 3.7660 | regret_pref: 5.0000 | reward_optimal: 5.4014 | reward_pref: 1.6353 | reward_npref: 1.3057
[      65 points] regret_avg: 4.1837 | regret_pref: 5.0000 | reward_optimal: 5.7437 | reward_pref: 1.5601 | reward_npref: 1.1674
[      70 points] regret_avg: 4.5098 | regret_pref: 6.0000 | reward_optimal: 6.2536 | reward_pref: 1.7438 | reward_npref: 1.4300
[      75 points] regret_avg: 4.9534 | regret_pref: 7.0000 | reward_optimal: 6.6148 | reward_pref: 1.6614 | reward_npref: 1.3615
[      80 points] regret_avg: 5.2812 | regret_pref: 7.0000 | reward_optimal: 7.0316 | reward_pref: 1.7504 | reward_npref: 1.4184
[      85 points] regret_avg: 5.3836 | regret_pref: 7.0000 | reward_optimal: 7.4888 | reward_pref: 2.1052 | reward_npref: 1.6090
[      90 points] regret_avg: 5.6313 | regret_pref: 8.0000 | reward_optimal: 7.8625 | reward_pref: 2.2312 | reward_npref: 1.7528
[      95 points] regret_avg: 5.8023 | regret_pref: 8.0000 | reward_optimal: 8.5916 | reward_pref: 2.7893 | reward_npref: 1.9892
[     100 points] regret_avg: 6.2035 | regret_pref: 8.0000 | reward_optimal: 8.8653 | reward_pref: 2.6618 | reward_npref: 1.6705
[     105 points] regret_avg: 6.5649 | regret_pref: 9.0000 | reward_optimal: 9.2097 | reward_pref: 2.6448 | reward_npref: 1.7232
[     110 points] regret_avg: 6.7118 | regret_pref: 9.0000 | reward_optimal: 9.8601 | reward_pref: 3.1482 | reward_npref: 2.0573
[     115 points] regret_avg: 7.1092 | regret_pref: 9.0000 | reward_optimal: 10.3596 | reward_pref: 3.2504 | reward_npref: 2.1053
[     120 points] regret_avg: 7.2884 | regret_pref: 9.0000 | reward_optimal: 11.1219 | reward_pref: 3.8335 | reward_npref: 2.6007
[     125 points] regret_avg: 7.7674 | regret_pref: 9.0000 | reward_optimal: 11.5208 | reward_pref: 3.7534 | reward_npref: 2.4182
[     130 points] regret_avg: 8.0380 | regret_pref: 9.0000 | reward_optimal: 12.3025 | reward_pref: 4.2645 | reward_npref: 2.8436
[     135 points] regret_avg: 8.0380 | regret_pref: 9.0000 | reward_optimal: 13.0394 | reward_pref: 5.0014 | reward_npref: 3.1172
[     140 points] regret_avg: 8.2420 | regret_pref: 9.0000 | reward_optimal: 13.4492 | reward_pref: 5.2072 | reward_npref: 3.2599
[     145 points] regret_avg: 8.7286 | regret_pref: 10.0000 | reward_optimal: 13.9121 | reward_pref: 5.1835 | reward_npref: 3.4853
[     150 points] regret_avg: 8.9916 | regret_pref: 10.0000 | reward_optimal: 14.3619 | reward_pref: 5.3703 | reward_npref: 3.3417
[     155 points] regret_avg: 9.5315 | regret_pref: 10.0000 | reward_optimal: 14.7924 | reward_pref: 5.2609 | reward_npref: 3.2054
[     160 points] regret_avg: 9.5315 | regret_pref: 10.0000 | reward_optimal: 15.1807 | reward_pref: 5.6492 | reward_npref: 2.9085
[     165 points] regret_avg: 9.8526 | regret_pref: 11.0000 | reward_optimal: 15.6805 | reward_pref: 5.8279 | reward_npref: 3.0954
[     170 points] regret_avg: 10.2226 | regret_pref: 11.0000 | reward_optimal: 15.8775 | reward_pref: 5.6548 | reward_npref: 2.7824
[     175 points] regret_avg: 10.4858 | regret_pref: 12.0000 | reward_optimal: 16.3863 | reward_pref: 5.9005 | reward_npref: 3.2912
[     180 points] regret_avg: 10.7983 | regret_pref: 12.0000 | reward_optimal: 16.8249 | reward_pref: 6.0266 | reward_npref: 3.4160
[     185 points] regret_avg: 10.7983 | regret_pref: 12.0000 | reward_optimal: 17.0442 | reward_pref: 6.2458 | reward_npref: 3.3467
[     190 points] regret_avg: 10.9435 | regret_pref: 12.0000 | reward_optimal: 17.4231 | reward_pref: 6.4796 | reward_npref: 3.5277
[     195 points] regret_avg: 11.1093 | regret_pref: 12.0000 | reward_optimal: 17.7447 | reward_pref: 6.6354 | reward_npref: 3.6764
[     200 points] regret_avg: 11.4020 | regret_pref: 13.0000 | reward_optimal: 18.1503 | reward_pref: 6.7483 | reward_npref: 3.8074
[     205 points] regret_avg: 11.6160 | regret_pref: 14.0000 | reward_optimal: 18.7768 | reward_pref: 7.1609 | reward_npref: 4.3976
[     210 points] regret_avg: 11.6160 | regret_pref: 14.0000 | reward_optimal: 19.1479 | reward_pref: 7.5319 | reward_npref: 4.1722
[     215 points] regret_avg: 11.8801 | regret_pref: 14.0000 | reward_optimal: 20.0362 | reward_pref: 8.1561 | reward_npref: 4.4219
[     220 points] regret_avg: 12.1143 | regret_pref: 15.0000 | reward_optimal: 20.3106 | reward_pref: 8.1963 | reward_npref: 4.4790
[     225 points] regret_avg: 12.2825 | regret_pref: 16.0000 | reward_optimal: 20.7632 | reward_pref: 8.4808 | reward_npref: 4.9316
[     230 points] regret_avg: 12.8241 | regret_pref: 17.0000 | reward_optimal: 21.1083 | reward_pref: 8.2842 | reward_npref: 4.7916
[     235 points] regret_avg: 13.1428 | regret_pref: 18.0000 | reward_optimal: 21.6065 | reward_pref: 8.4637 | reward_npref: 4.9887
[     240 points] regret_avg: 13.4623 | regret_pref: 19.0000 | reward_optimal: 21.9693 | reward_pref: 8.5070 | reward_npref: 5.0487
