[       5 points] regret_avg: 0.4988 | regret_pref: 1.0000 | reward_optimal: 0.4739 | reward_pref: -0.0249 | reward_npref: 0.1385
[      10 points] regret_avg: 0.9538 | regret_pref: 2.0000 | reward_optimal: 1.0163 | reward_pref: 0.0625 | reward_npref: 0.2327
[      15 points] regret_avg: 1.1180 | regret_pref: 2.0000 | reward_optimal: 1.4531 | reward_pref: 0.3352 | reward_npref: 0.4286
[      20 points] regret_avg: 1.3242 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.6434 | reward_npref: 0.7118
[      25 points] regret_avg: 1.7864 | regret_pref: 3.0000 | reward_optimal: 2.4806 | reward_pref: 0.6942 | reward_npref: 0.9374
[      30 points] regret_avg: 2.0679 | regret_pref: 3.0000 | reward_optimal: 2.8144 | reward_pref: 0.7465 | reward_npref: 0.9554
[      35 points] regret_avg: 2.0679 | regret_pref: 3.0000 | reward_optimal: 3.6201 | reward_pref: 1.5522 | reward_npref: 1.3970
[      40 points] regret_avg: 2.3748 | regret_pref: 3.0000 | reward_optimal: 3.8483 | reward_pref: 1.4736 | reward_npref: 1.2240
[      45 points] regret_avg: 2.5945 | regret_pref: 3.0000 | reward_optimal: 4.3113 | reward_pref: 1.7167 | reward_npref: 1.3658
[      50 points] regret_avg: 2.9706 | regret_pref: 3.0000 | reward_optimal: 4.6257 | reward_pref: 1.6551 | reward_npref: 1.1548
[      55 points] regret_avg: 3.3240 | regret_pref: 3.0000 | reward_optimal: 4.9860 | reward_pref: 1.6620 | reward_npref: 1.0229
[      60 points] regret_avg: 3.6273 | regret_pref: 4.0000 | reward_optimal: 5.4014 | reward_pref: 1.7741 | reward_npref: 1.1670
[      65 points] regret_avg: 4.1081 | regret_pref: 5.0000 | reward_optimal: 5.7437 | reward_pref: 1.6357 | reward_npref: 1.0918
[      70 points] regret_avg: 4.3553 | regret_pref: 5.0000 | reward_optimal: 6.2536 | reward_pref: 1.8983 | reward_npref: 1.2755
[      75 points] regret_avg: 4.7849 | regret_pref: 5.0000 | reward_optimal: 6.6148 | reward_pref: 1.8299 | reward_npref: 1.1930
[      80 points] regret_avg: 5.1127 | regret_pref: 5.0000 | reward_optimal: 7.0316 | reward_pref: 1.9189 | reward_npref: 1.2499
[      85 points] regret_avg: 5.2151 | regret_pref: 5.0000 | reward_optimal: 7.4888 | reward_pref: 2.2737 | reward_npref: 1.4405
[      90 points] regret_avg: 5.4629 | regret_pref: 6.0000 | reward_optimal: 7.8625 | reward_pref: 2.3997 | reward_npref: 1.5843
[      95 points] regret_avg: 5.9554 | regret_pref: 7.0000 | reward_optimal: 8.5916 | reward_pref: 2.6361 | reward_npref: 2.1423
[     100 points] regret_avg: 6.5479 | regret_pref: 8.0000 | reward_optimal: 8.8653 | reward_pref: 2.3174 | reward_npref: 2.0149
[     105 points] regret_avg: 6.8396 | regret_pref: 8.0000 | reward_optimal: 9.2097 | reward_pref: 2.3701 | reward_npref: 1.9979
[     110 points] regret_avg: 6.9865 | regret_pref: 8.0000 | reward_optimal: 9.8601 | reward_pref: 2.8735 | reward_npref: 2.3320
[     115 points] regret_avg: 7.3839 | regret_pref: 8.0000 | reward_optimal: 10.3596 | reward_pref: 2.9757 | reward_npref: 2.3800
[     120 points] regret_avg: 7.5631 | regret_pref: 8.0000 | reward_optimal: 11.1219 | reward_pref: 3.5588 | reward_npref: 2.8754
[     125 points] regret_avg: 8.0421 | regret_pref: 8.0000 | reward_optimal: 11.5208 | reward_pref: 3.4787 | reward_npref: 2.6929
[     130 points] regret_avg: 8.3127 | regret_pref: 8.0000 | reward_optimal: 12.3025 | reward_pref: 3.9898 | reward_npref: 3.1183
[     135 points] regret_avg: 8.3127 | regret_pref: 8.0000 | reward_optimal: 13.0394 | reward_pref: 4.7267 | reward_npref: 3.3919
[     140 points] regret_avg: 8.5797 | regret_pref: 9.0000 | reward_optimal: 13.4492 | reward_pref: 4.8695 | reward_npref: 3.5976
[     145 points] regret_avg: 9.0663 | regret_pref: 10.0000 | reward_optimal: 13.9121 | reward_pref: 4.8458 | reward_npref: 3.8230
[     150 points] regret_avg: 9.3293 | regret_pref: 10.0000 | reward_optimal: 14.3619 | reward_pref: 5.0326 | reward_npref: 3.6794
[     155 points] regret_avg: 9.8692 | regret_pref: 10.0000 | reward_optimal: 14.7924 | reward_pref: 4.9233 | reward_npref: 3.5430
[     160 points] regret_avg: 9.8692 | regret_pref: 10.0000 | reward_optimal: 15.1807 | reward_pref: 5.3115 | reward_npref: 3.2462
[     165 points] regret_avg: 10.1821 | regret_pref: 10.0000 | reward_optimal: 15.6805 | reward_pref: 5.4984 | reward_npref: 3.4249
[     170 points] regret_avg: 10.5521 | regret_pref: 10.0000 | reward_optimal: 15.8775 | reward_pref: 5.3253 | reward_npref: 3.1119
[     175 points] regret_avg: 10.8153 | regret_pref: 11.0000 | reward_optimal: 16.3863 | reward_pref: 5.5710 | reward_npref: 3.6207
[     180 points] regret_avg: 11.1278 | regret_pref: 11.0000 | reward_optimal: 16.8249 | reward_pref: 5.6971 | reward_npref: 3.7455
[     185 points] regret_avg: 11.1278 | regret_pref: 11.0000 | reward_optimal: 17.0442 | reward_pref: 5.9163 | reward_npref: 3.6763
[     190 points] regret_avg: 11.2730 | regret_pref: 11.0000 | reward_optimal: 17.4231 | reward_pref: 6.1501 | reward_npref: 3.8572
[     195 points] regret_avg: 11.4388 | regret_pref: 11.0000 | reward_optimal: 17.7447 | reward_pref: 6.3059 | reward_npref: 4.0059
[     200 points] regret_avg: 11.7315 | regret_pref: 12.0000 | reward_optimal: 18.1503 | reward_pref: 6.4188 | reward_npref: 4.1369
[     205 points] regret_avg: 11.7679 | regret_pref: 12.0000 | reward_optimal: 18.7768 | reward_pref: 7.0090 | reward_npref: 4.5495
[     210 points] regret_avg: 12.3643 | regret_pref: 13.0000 | reward_optimal: 19.1479 | reward_pref: 6.7836 | reward_npref: 4.9205
[     215 points] regret_avg: 12.6284 | regret_pref: 13.0000 | reward_optimal: 20.0362 | reward_pref: 7.4078 | reward_npref: 5.1702
[     220 points] regret_avg: 12.8626 | regret_pref: 14.0000 | reward_optimal: 20.3106 | reward_pref: 7.4480 | reward_npref: 5.2273
[     225 points] regret_avg: 12.8626 | regret_pref: 14.0000 | reward_optimal: 20.7632 | reward_pref: 7.9006 | reward_npref: 5.5117
[     230 points] regret_avg: 13.4042 | regret_pref: 15.0000 | reward_optimal: 21.1083 | reward_pref: 7.7041 | reward_npref: 5.3717
[     235 points] regret_avg: 13.7052 | regret_pref: 15.0000 | reward_optimal: 21.6065 | reward_pref: 7.9013 | reward_npref: 5.5512
[     240 points] regret_avg: 14.0247 | regret_pref: 16.0000 | reward_optimal: 21.9693 | reward_pref: 7.9446 | reward_npref: 5.6112
