[       5 points] regret_avg: 0.1987 | regret_pref: 0.0000 | reward_optimal: 0.4104 | reward_pref: 0.2117 | reward_npref: 0.0859
[      10 points] regret_avg: 0.4153 | regret_pref: 0.0000 | reward_optimal: 0.8042 | reward_pref: 0.3889 | reward_npref: 0.2372
[      15 points] regret_avg: 0.4175 | regret_pref: 0.0000 | reward_optimal: 1.2671 | reward_pref: 0.8495 | reward_npref: 0.6494
[      20 points] regret_avg: 0.8316 | regret_pref: 1.0000 | reward_optimal: 1.6434 | reward_pref: 0.8118 | reward_npref: 0.6935
[      25 points] regret_avg: 1.1851 | regret_pref: 2.0000 | reward_optimal: 2.0636 | reward_pref: 0.8784 | reward_npref: 1.1137
[      30 points] regret_avg: 1.4604 | regret_pref: 2.0000 | reward_optimal: 2.3720 | reward_pref: 0.9116 | reward_npref: 0.7442
[      35 points] regret_avg: 1.8113 | regret_pref: 2.0000 | reward_optimal: 2.7123 | reward_pref: 0.9010 | reward_npref: 0.7255
[      40 points] regret_avg: 1.8965 | regret_pref: 2.0000 | reward_optimal: 3.0975 | reward_pref: 1.2010 | reward_npref: 1.0050
[      45 points] regret_avg: 2.2842 | regret_pref: 3.0000 | reward_optimal: 3.7479 | reward_pref: 1.4637 | reward_npref: 1.4726
[      50 points] regret_avg: 2.7479 | regret_pref: 3.0000 | reward_optimal: 4.2120 | reward_pref: 1.4641 | reward_npref: 1.4340
[      55 points] regret_avg: 3.2754 | regret_pref: 4.0000 | reward_optimal: 4.6899 | reward_pref: 1.4146 | reward_npref: 1.4563
[      60 points] regret_avg: 4.0460 | regret_pref: 4.0000 | reward_optimal: 5.1857 | reward_pref: 1.1397 | reward_npref: 1.1543
[      65 points] regret_avg: 4.8568 | regret_pref: 5.0000 | reward_optimal: 5.6642 | reward_pref: 0.8074 | reward_npref: 1.2532
[      70 points] regret_avg: 5.4124 | regret_pref: 6.0000 | reward_optimal: 5.9683 | reward_pref: 0.5558 | reward_npref: 1.1378
[      75 points] regret_avg: 5.6454 | regret_pref: 7.0000 | reward_optimal: 6.4417 | reward_pref: 0.7963 | reward_npref: 1.6112
[      80 points] regret_avg: 6.1330 | regret_pref: 8.0000 | reward_optimal: 6.6860 | reward_pref: 0.5530 | reward_npref: 1.5627
[      85 points] regret_avg: 6.3793 | regret_pref: 8.0000 | reward_optimal: 7.1324 | reward_pref: 0.7531 | reward_npref: 1.3447
[      90 points] regret_avg: 6.6678 | regret_pref: 9.0000 | reward_optimal: 7.5694 | reward_pref: 0.9016 | reward_npref: 1.5072
[      95 points] regret_avg: 6.6678 | regret_pref: 9.0000 | reward_optimal: 8.2032 | reward_pref: 1.5355 | reward_npref: 1.8404
[     100 points] regret_avg: 6.8594 | regret_pref: 9.0000 | reward_optimal: 8.5741 | reward_pref: 1.7147 | reward_npref: 1.9743
[     105 points] regret_avg: 7.3523 | regret_pref: 9.0000 | reward_optimal: 9.0345 | reward_pref: 1.6822 | reward_npref: 1.8645
[     110 points] regret_avg: 7.5986 | regret_pref: 10.0000 | reward_optimal: 9.2846 | reward_pref: 1.6860 | reward_npref: 1.8834
[     115 points] regret_avg: 7.8671 | regret_pref: 10.0000 | reward_optimal: 9.5835 | reward_pref: 1.7164 | reward_npref: 1.4879
[     120 points] regret_avg: 8.0491 | regret_pref: 10.0000 | reward_optimal: 9.9457 | reward_pref: 1.8966 | reward_npref: 1.5114
[     125 points] regret_avg: 8.9082 | regret_pref: 11.0000 | reward_optimal: 10.3091 | reward_pref: 1.4009 | reward_npref: 1.1647
[     130 points] regret_avg: 9.1768 | regret_pref: 11.0000 | reward_optimal: 10.6678 | reward_pref: 1.4910 | reward_npref: 1.0495
