[       5 points] regret_avg: 0.6793 | regret_pref: 0.0000 | reward_optimal: 0.3516 | reward_pref: -0.3277 | reward_npref: -0.4829
[      10 points] regret_avg: 1.4882 | regret_pref: 0.0000 | reward_optimal: 0.5012 | reward_pref: -0.9870 | reward_npref: -1.2685
[      15 points] regret_avg: 1.5671 | regret_pref: 0.0000 | reward_optimal: 0.9867 | reward_pref: -0.5804 | reward_npref: -1.0354
[      20 points] regret_avg: 1.9313 | regret_pref: 0.0000 | reward_optimal: 1.7639 | reward_pref: -0.1674 | reward_npref: -0.7277
[      25 points] regret_avg: 2.0971 | regret_pref: 0.0000 | reward_optimal: 2.0512 | reward_pref: -0.0459 | reward_npref: -0.8452
[      30 points] regret_avg: 2.4043 | regret_pref: 0.0000 | reward_optimal: 2.3986 | reward_pref: -0.0056 | reward_npref: -0.9791
[      35 points] regret_avg: 2.8447 | regret_pref: 0.0000 | reward_optimal: 2.8173 | reward_pref: -0.0274 | reward_npref: -1.0248
[      40 points] regret_avg: 3.0203 | regret_pref: 0.0000 | reward_optimal: 3.1611 | reward_pref: 0.1408 | reward_npref: -0.8750
[      45 points] regret_avg: 3.2858 | regret_pref: 0.0000 | reward_optimal: 3.6656 | reward_pref: 0.3797 | reward_npref: -0.9259
[      50 points] regret_avg: 3.6835 | regret_pref: 0.0000 | reward_optimal: 4.1839 | reward_pref: 0.5005 | reward_npref: -0.8382
[      55 points] regret_avg: 3.9416 | regret_pref: 1.0000 | reward_optimal: 4.4946 | reward_pref: 0.5530 | reward_npref: -0.5276
[      60 points] regret_avg: 4.2991 | regret_pref: 2.0000 | reward_optimal: 4.9309 | reward_pref: 0.6318 | reward_npref: -0.0912
[      65 points] regret_avg: 4.9182 | regret_pref: 2.0000 | reward_optimal: 6.0562 | reward_pref: 1.1380 | reward_npref: 0.2821
[      70 points] regret_avg: 5.1116 | regret_pref: 2.0000 | reward_optimal: 6.4632 | reward_pref: 1.3516 | reward_npref: 0.4648
[      75 points] regret_avg: 5.8241 | regret_pref: 2.0000 | reward_optimal: 6.7597 | reward_pref: 0.9356 | reward_npref: -0.1218
[      80 points] regret_avg: 5.8241 | regret_pref: 2.0000 | reward_optimal: 7.1653 | reward_pref: 1.3413 | reward_npref: -0.0873
[      85 points] regret_avg: 6.0249 | regret_pref: 2.0000 | reward_optimal: 7.4953 | reward_pref: 1.4704 | reward_npref: -0.1718
[      90 points] regret_avg: 6.2035 | regret_pref: 3.0000 | reward_optimal: 7.8318 | reward_pref: 1.6283 | reward_npref: -0.0005
[      95 points] regret_avg: 6.4376 | regret_pref: 3.0000 | reward_optimal: 8.3974 | reward_pref: 1.9598 | reward_npref: 0.3069
[     100 points] regret_avg: 6.8392 | regret_pref: 4.0000 | reward_optimal: 9.0832 | reward_pref: 2.2440 | reward_npref: 0.6196
[     105 points] regret_avg: 7.3567 | regret_pref: 4.0000 | reward_optimal: 9.6296 | reward_pref: 2.2729 | reward_npref: 0.5560
[     110 points] regret_avg: 7.5940 | regret_pref: 4.0000 | reward_optimal: 9.9991 | reward_pref: 2.4051 | reward_npref: 0.0571
[     115 points] regret_avg: 7.8961 | regret_pref: 4.0000 | reward_optimal: 10.3303 | reward_pref: 2.4342 | reward_npref: -0.0362
[     120 points] regret_avg: 8.3609 | regret_pref: 4.0000 | reward_optimal: 10.6541 | reward_pref: 2.2933 | reward_npref: -0.3046
[     125 points] regret_avg: 9.0172 | regret_pref: 4.0000 | reward_optimal: 11.1272 | reward_pref: 2.1100 | reward_npref: -0.7326
[     130 points] regret_avg: 9.6641 | regret_pref: 4.0000 | reward_optimal: 11.3721 | reward_pref: 1.7079 | reward_npref: -1.4375
[     135 points] regret_avg: 9.6641 | regret_pref: 4.0000 | reward_optimal: 11.7362 | reward_pref: 2.0721 | reward_npref: -1.4183
[     140 points] regret_avg: 9.9931 | regret_pref: 5.0000 | reward_optimal: 12.0330 | reward_pref: 2.0399 | reward_npref: -1.4004
[     145 points] regret_avg: 10.1068 | regret_pref: 5.0000 | reward_optimal: 12.4556 | reward_pref: 2.3488 | reward_npref: -1.2062
[     150 points] regret_avg: 10.5614 | regret_pref: 6.0000 | reward_optimal: 12.6502 | reward_pref: 2.0888 | reward_npref: -1.3586
[     155 points] regret_avg: 10.9583 | regret_pref: 6.0000 | reward_optimal: 13.2268 | reward_pref: 2.2685 | reward_npref: -1.1962
