[       5 points] regret_avg: 0.3354 | regret_pref: 0.0000 | reward_optimal: 0.4739 | reward_pref: 0.1385 | reward_npref: -0.0249
[      10 points] regret_avg: 0.7904 | regret_pref: 1.0000 | reward_optimal: 1.0163 | reward_pref: 0.2259 | reward_npref: 0.0693
[      15 points] regret_avg: 0.9546 | regret_pref: 1.0000 | reward_optimal: 1.4531 | reward_pref: 0.4986 | reward_npref: 0.2652
[      20 points] regret_avg: 1.1858 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.7818 | reward_npref: 0.5734
[      25 points] regret_avg: 1.6481 | regret_pref: 3.0000 | reward_optimal: 2.4806 | reward_pref: 0.8326 | reward_npref: 0.7990
[      30 points] regret_avg: 1.9295 | regret_pref: 3.0000 | reward_optimal: 2.8144 | reward_pref: 0.8849 | reward_npref: 0.8171
[      35 points] regret_avg: 1.9295 | regret_pref: 3.0000 | reward_optimal: 3.6201 | reward_pref: 1.6906 | reward_npref: 1.2586
[      40 points] regret_avg: 2.3308 | regret_pref: 4.0000 | reward_optimal: 3.8483 | reward_pref: 1.5176 | reward_npref: 1.1800
[      45 points] regret_avg: 2.6519 | regret_pref: 5.0000 | reward_optimal: 4.3113 | reward_pref: 1.6593 | reward_npref: 1.4232
[      50 points] regret_avg: 3.0280 | regret_pref: 5.0000 | reward_optimal: 4.6257 | reward_pref: 1.5977 | reward_npref: 1.2122
[      55 points] regret_avg: 3.3814 | regret_pref: 5.0000 | reward_optimal: 4.9860 | reward_pref: 1.6046 | reward_npref: 1.0803
[      60 points] regret_avg: 3.6847 | regret_pref: 6.0000 | reward_optimal: 5.4014 | reward_pref: 1.7166 | reward_npref: 1.2245
[      65 points] regret_avg: 4.1024 | regret_pref: 6.0000 | reward_optimal: 5.7437 | reward_pref: 1.6414 | reward_npref: 1.0861
[      70 points] regret_avg: 4.3496 | regret_pref: 6.0000 | reward_optimal: 6.2536 | reward_pref: 1.9040 | reward_npref: 1.2698
[      75 points] regret_avg: 4.7931 | regret_pref: 7.0000 | reward_optimal: 6.6148 | reward_pref: 1.8216 | reward_npref: 1.2013
[      80 points] regret_avg: 5.1532 | regret_pref: 8.0000 | reward_optimal: 7.0316 | reward_pref: 1.8784 | reward_npref: 1.2903
[      85 points] regret_avg: 5.2556 | regret_pref: 8.0000 | reward_optimal: 7.4888 | reward_pref: 2.2333 | reward_npref: 1.4810
[      90 points] regret_avg: 5.4855 | regret_pref: 8.0000 | reward_optimal: 7.8625 | reward_pref: 2.3770 | reward_npref: 1.6069
[      95 points] regret_avg: 5.6565 | regret_pref: 8.0000 | reward_optimal: 8.5916 | reward_pref: 2.9351 | reward_npref: 1.8434
[     100 points] regret_avg: 6.0577 | regret_pref: 8.0000 | reward_optimal: 8.8653 | reward_pref: 2.8076 | reward_npref: 1.5247
[     105 points] regret_avg: 6.4191 | regret_pref: 9.0000 | reward_optimal: 9.2097 | reward_pref: 2.7906 | reward_npref: 1.5774
[     110 points] regret_avg: 6.5660 | regret_pref: 9.0000 | reward_optimal: 9.8601 | reward_pref: 3.2940 | reward_npref: 1.9115
[     115 points] regret_avg: 6.9634 | regret_pref: 9.0000 | reward_optimal: 10.3596 | reward_pref: 3.3963 | reward_npref: 1.9595
[     120 points] regret_avg: 7.1426 | regret_pref: 9.0000 | reward_optimal: 11.1219 | reward_pref: 3.9793 | reward_npref: 2.4549
[     125 points] regret_avg: 7.6216 | regret_pref: 9.0000 | reward_optimal: 11.5208 | reward_pref: 3.8992 | reward_npref: 2.2723
[     130 points] regret_avg: 7.8922 | regret_pref: 9.0000 | reward_optimal: 12.3025 | reward_pref: 4.4103 | reward_npref: 2.6978
[     135 points] regret_avg: 7.8922 | regret_pref: 9.0000 | reward_optimal: 13.0394 | reward_pref: 5.1472 | reward_npref: 2.9714
[     140 points] regret_avg: 8.0962 | regret_pref: 9.0000 | reward_optimal: 13.4492 | reward_pref: 5.3530 | reward_npref: 3.1141
[     145 points] regret_avg: 8.3338 | regret_pref: 9.0000 | reward_optimal: 13.9121 | reward_pref: 5.5783 | reward_npref: 3.0904
[     150 points] regret_avg: 8.5967 | regret_pref: 9.0000 | reward_optimal: 14.3619 | reward_pref: 5.7652 | reward_npref: 2.9469
[     155 points] regret_avg: 9.1366 | regret_pref: 9.0000 | reward_optimal: 14.7924 | reward_pref: 5.6558 | reward_npref: 2.8105
[     160 points] regret_avg: 9.1366 | regret_pref: 9.0000 | reward_optimal: 15.1807 | reward_pref: 6.0440 | reward_npref: 2.5137
[     165 points] regret_avg: 9.4577 | regret_pref: 10.0000 | reward_optimal: 15.6805 | reward_pref: 6.2227 | reward_npref: 2.7006
[     170 points] regret_avg: 9.8278 | regret_pref: 10.0000 | reward_optimal: 15.8775 | reward_pref: 6.0497 | reward_npref: 2.3876
[     175 points] regret_avg: 9.8278 | regret_pref: 10.0000 | reward_optimal: 16.3863 | reward_pref: 6.5585 | reward_npref: 2.6332
[     180 points] regret_avg: 10.1417 | regret_pref: 11.0000 | reward_optimal: 16.8249 | reward_pref: 6.6832 | reward_npref: 2.7594
[     185 points] regret_avg: 10.4302 | regret_pref: 12.0000 | reward_optimal: 17.0442 | reward_pref: 6.6140 | reward_npref: 2.9786
[     190 points] regret_avg: 10.5754 | regret_pref: 12.0000 | reward_optimal: 17.4231 | reward_pref: 6.8477 | reward_npref: 3.1595
[     195 points] regret_avg: 10.7483 | regret_pref: 13.0000 | reward_optimal: 17.7447 | reward_pref: 6.9965 | reward_npref: 3.3153
[     200 points] regret_avg: 11.0229 | regret_pref: 13.0000 | reward_optimal: 18.1503 | reward_pref: 7.1275 | reward_npref: 3.4283
[     205 points] regret_avg: 11.0592 | regret_pref: 13.0000 | reward_optimal: 18.7768 | reward_pref: 7.7176 | reward_npref: 3.8408
[     210 points] regret_avg: 11.0592 | regret_pref: 13.0000 | reward_optimal: 19.1479 | reward_pref: 8.0886 | reward_npref: 3.6155
[     215 points] regret_avg: 11.3233 | regret_pref: 13.0000 | reward_optimal: 20.0362 | reward_pref: 8.7129 | reward_npref: 3.8651
[     220 points] regret_avg: 11.5576 | regret_pref: 14.0000 | reward_optimal: 20.3106 | reward_pref: 8.7531 | reward_npref: 3.9223
[     225 points] regret_avg: 11.5576 | regret_pref: 14.0000 | reward_optimal: 20.7632 | reward_pref: 9.2057 | reward_npref: 4.2067
[     230 points] regret_avg: 12.0427 | regret_pref: 14.0000 | reward_optimal: 21.1083 | reward_pref: 9.0656 | reward_npref: 4.0102
[     235 points] regret_avg: 12.3614 | regret_pref: 15.0000 | reward_optimal: 21.6065 | reward_pref: 9.2451 | reward_npref: 4.2073
