[       5 points] regret_avg: 0.1410 | regret_pref: 0.0000 | reward_optimal: 0.3336 | reward_pref: 0.1926 | reward_npref: 0.1818
[      10 points] regret_avg: 0.3459 | regret_pref: 0.0000 | reward_optimal: 0.7053 | reward_pref: 0.3594 | reward_npref: 0.0312
[      15 points] regret_avg: 0.5844 | regret_pref: 0.0000 | reward_optimal: 1.0870 | reward_pref: 0.5026 | reward_npref: 0.1461
[      20 points] regret_avg: 0.9119 | regret_pref: 1.0000 | reward_optimal: 1.4810 | reward_pref: 0.5691 | reward_npref: 0.2707
[      25 points] regret_avg: 1.0602 | regret_pref: 1.0000 | reward_optimal: 1.7479 | reward_pref: 0.6877 | reward_npref: 0.1522
[      30 points] regret_avg: 1.7023 | regret_pref: 1.0000 | reward_optimal: 2.0977 | reward_pref: 0.3954 | reward_npref: -0.3071
[      35 points] regret_avg: 1.8028 | regret_pref: 1.0000 | reward_optimal: 2.4605 | reward_pref: 0.6576 | reward_npref: -0.1189
[      40 points] regret_avg: 2.0007 | regret_pref: 1.0000 | reward_optimal: 2.8175 | reward_pref: 0.8168 | reward_npref: -0.3025
[      45 points] regret_avg: 2.0007 | regret_pref: 1.0000 | reward_optimal: 3.3642 | reward_pref: 1.3635 | reward_npref: -0.1903
[      50 points] regret_avg: 2.0007 | regret_pref: 1.0000 | reward_optimal: 3.6892 | reward_pref: 1.6885 | reward_npref: -0.4034
[      55 points] regret_avg: 2.2263 | regret_pref: 1.0000 | reward_optimal: 4.1316 | reward_pref: 1.9052 | reward_npref: -0.2197
[      60 points] regret_avg: 2.5290 | regret_pref: 2.0000 | reward_optimal: 4.5503 | reward_pref: 2.0214 | reward_npref: -0.0601
[      65 points] regret_avg: 2.6316 | regret_pref: 2.0000 | reward_optimal: 5.1526 | reward_pref: 2.5210 | reward_npref: 0.2088
[      70 points] regret_avg: 2.9869 | regret_pref: 2.0000 | reward_optimal: 5.4733 | reward_pref: 2.4864 | reward_npref: 0.0214
[      75 points] regret_avg: 3.2457 | regret_pref: 2.0000 | reward_optimal: 5.7662 | reward_pref: 2.5205 | reward_npref: -0.1263
[      80 points] regret_avg: 3.9932 | regret_pref: 3.0000 | reward_optimal: 6.1515 | reward_pref: 2.1584 | reward_npref: -0.4555
