[       5 points] regret_avg: 3.0138 | regret_pref: 1.0000 | reward_optimal: 0.4611 | reward_pref: -2.5527 | reward_npref: -0.5463
[      10 points] regret_avg: 3.6859 | regret_pref: 1.0000 | reward_optimal: 2.4140 | reward_pref: -1.2719 | reward_npref: 0.5229
[      15 points] regret_avg: 8.5052 | regret_pref: 1.0000 | reward_optimal: 15.3445 | reward_pref: 6.8393 | reward_npref: 3.8694
[      20 points] regret_avg: 8.5052 | regret_pref: 1.0000 | reward_optimal: 15.8378 | reward_pref: 7.3326 | reward_npref: 4.0813
[      25 points] regret_avg: 9.3720 | regret_pref: 2.0000 | reward_optimal: 16.7531 | reward_pref: 7.3812 | reward_npref: 4.4669
[      30 points] regret_avg: 12.6738 | regret_pref: 2.0000 | reward_optimal: 16.6109 | reward_pref: 3.9371 | reward_npref: -1.1547
[      35 points] regret_avg: 12.6738 | regret_pref: 2.0000 | reward_optimal: 29.8778 | reward_pref: 17.2040 | reward_npref: 5.5287
[      40 points] regret_avg: 15.7040 | regret_pref: 2.0000 | reward_optimal: 29.2060 | reward_pref: 13.5020 | reward_npref: -0.0806
[      45 points] regret_avg: 16.0613 | regret_pref: 3.0000 | reward_optimal: 30.0556 | reward_pref: 13.9944 | reward_npref: 0.6075
[      50 points] regret_avg: 20.1262 | regret_pref: 3.0000 | reward_optimal: 30.1230 | reward_pref: 9.9968 | reward_npref: -8.1149
[      55 points] regret_avg: 24.8027 | regret_pref: 4.0000 | reward_optimal: 30.6937 | reward_pref: 5.8909 | reward_npref: -9.6737
[      60 points] regret_avg: 30.3248 | regret_pref: 4.0000 | reward_optimal: 30.8625 | reward_pref: 0.5377 | reward_npref: -19.2950
[      65 points] regret_avg: 32.1594 | regret_pref: 4.0000 | reward_optimal: 31.4640 | reward_pref: -0.6954 | reward_npref: -21.1386
[      70 points] regret_avg: 38.7270 | regret_pref: 4.0000 | reward_optimal: 39.8846 | reward_pref: 1.1576 | reward_npref: -19.6665
