[       5 points] regret_avg: 5.7616 | regret_pref: 0.0000 | reward_optimal: -0.0915 | reward_pref: -5.8531 | reward_npref: -8.1006
[      10 points] regret_avg: 15.2799 | regret_pref: 0.0000 | reward_optimal: -0.7381 | reward_pref: -16.0180 | reward_npref: -20.1222
[      15 points] regret_avg: 16.0851 | regret_pref: 0.0000 | reward_optimal: 5.8215 | reward_pref: -10.2636 | reward_npref: -18.6102
[      20 points] regret_avg: 18.7574 | regret_pref: 0.0000 | reward_optimal: 11.2842 | reward_pref: -7.4732 | reward_npref: -17.6410
[      25 points] regret_avg: 26.3364 | regret_pref: 1.0000 | reward_optimal: 20.4005 | reward_pref: -5.9359 | reward_npref: -11.8941
[      30 points] regret_avg: 33.2648 | regret_pref: 2.0000 | reward_optimal: 20.6961 | reward_pref: -12.5686 | reward_npref: -13.7515
[      35 points] regret_avg: 36.3713 | regret_pref: 2.0000 | reward_optimal: 20.8956 | reward_pref: -15.4757 | reward_npref: -17.3283
[      40 points] regret_avg: 36.5227 | regret_pref: 2.0000 | reward_optimal: 21.4197 | reward_pref: -15.1030 | reward_npref: -17.0138
[      45 points] regret_avg: 42.7788 | regret_pref: 3.0000 | reward_optimal: 21.6343 | reward_pref: -21.1446 | reward_npref: -17.7399
[      50 points] regret_avg: 46.7487 | regret_pref: 4.0000 | reward_optimal: 27.6060 | reward_pref: -19.1427 | reward_npref: -12.1353
[      55 points] regret_avg: 49.7005 | regret_pref: 5.0000 | reward_optimal: 27.0991 | reward_pref: -22.6014 | reward_npref: -12.6423
[      60 points] regret_avg: 56.9587 | regret_pref: 6.0000 | reward_optimal: 35.5883 | reward_pref: -21.3705 | reward_npref: -4.6780
[      65 points] regret_avg: 65.8778 | regret_pref: 6.0000 | reward_optimal: 51.4700 | reward_pref: -14.4078 | reward_npref: 0.3076
[      70 points] regret_avg: 74.0941 | regret_pref: 7.0000 | reward_optimal: 63.5909 | reward_pref: -10.5032 | reward_npref: 5.6852
[      75 points] regret_avg: 86.5958 | regret_pref: 8.0000 | reward_optimal: 63.1108 | reward_pref: -23.4850 | reward_npref: -3.8185
[      80 points] regret_avg: 90.0451 | regret_pref: 9.0000 | reward_optimal: 67.6920 | reward_pref: -22.3531 | reward_npref: -1.1771
[      85 points] regret_avg: 90.5758 | regret_pref: 9.0000 | reward_optimal: 67.9196 | reward_pref: -22.6561 | reward_npref: -2.7601
[      90 points] regret_avg: 91.2238 | regret_pref: 10.0000 | reward_optimal: 68.8707 | reward_pref: -22.3531 | reward_npref: -2.3635
[      95 points] regret_avg: 94.1884 | regret_pref: 10.0000 | reward_optimal: 74.9680 | reward_pref: -19.2204 | reward_npref: 0.4076
[     100 points] regret_avg: 97.9215 | regret_pref: 10.0000 | reward_optimal: 81.0931 | reward_pref: -16.8284 | reward_npref: 2.4415
[     105 points] regret_avg: 99.5668 | regret_pref: 10.0000 | reward_optimal: 81.8284 | reward_pref: -17.7384 | reward_npref: 0.7992
[     110 points] regret_avg: 112.7121 | regret_pref: 11.0000 | reward_optimal: 81.3281 | reward_pref: -31.3840 | reward_npref: -0.8183
[     115 points] regret_avg: 124.4626 | regret_pref: 12.0000 | reward_optimal: 81.1167 | reward_pref: -43.3459 | reward_npref: -4.7009
[     120 points] regret_avg: 132.8787 | regret_pref: 13.0000 | reward_optimal: 80.8900 | reward_pref: -51.9887 | reward_npref: -10.1530
[     125 points] regret_avg: 136.7070 | regret_pref: 13.0000 | reward_optimal: 81.2582 | reward_pref: -55.4489 | reward_npref: -16.7772
[     130 points] regret_avg: 141.3879 | regret_pref: 13.0000 | reward_optimal: 81.3085 | reward_pref: -60.0795 | reward_npref: -24.5627
[     135 points] regret_avg: 143.1147 | regret_pref: 14.0000 | reward_optimal: 81.9785 | reward_pref: -61.1362 | reward_npref: -23.8927
[     140 points] regret_avg: 143.4331 | regret_pref: 14.0000 | reward_optimal: 82.3362 | reward_pref: -61.0969 | reward_npref: -23.8981
[     145 points] regret_avg: 148.6806 | regret_pref: 15.0000 | reward_optimal: 82.9032 | reward_pref: -65.7774 | reward_npref: -24.6129
[     150 points] regret_avg: 148.9245 | regret_pref: 15.0000 | reward_optimal: 83.5192 | reward_pref: -65.4052 | reward_npref: -24.3336
[     155 points] regret_avg: 149.4326 | regret_pref: 15.0000 | reward_optimal: 85.2917 | reward_pref: -64.1410 | reward_npref: -23.4479
[     160 points] regret_avg: 152.2913 | regret_pref: 15.0000 | reward_optimal: 96.8246 | reward_pref: -55.4667 | reward_npref: -21.0688
[     165 points] regret_avg: 157.0277 | regret_pref: 16.0000 | reward_optimal: 96.7519 | reward_pref: -60.2757 | reward_npref: -24.4424
[     170 points] regret_avg: 157.0277 | regret_pref: 16.0000 | reward_optimal: 96.7221 | reward_pref: -60.3056 | reward_npref: -28.6065
[     175 points] regret_avg: 157.2992 | regret_pref: 16.0000 | reward_optimal: 97.2592 | reward_pref: -60.0400 | reward_npref: -28.3909
