[       5 points] regret_avg: 1.6011 | regret_pref: 1.0000 | reward_optimal: 3.0421 | reward_pref: 1.4410 | reward_npref: 2.1372
[      10 points] regret_avg: 4.5246 | regret_pref: 2.0000 | reward_optimal: 3.7944 | reward_pref: -0.7301 | reward_npref: 0.2727
[      15 points] regret_avg: 11.5108 | regret_pref: 2.0000 | reward_optimal: 3.9118 | reward_pref: -7.5990 | reward_npref: -7.2325
[      20 points] regret_avg: 12.3382 | regret_pref: 2.0000 | reward_optimal: 4.1822 | reward_pref: -8.1559 | reward_npref: -8.0113
[      25 points] regret_avg: 13.9329 | regret_pref: 3.0000 | reward_optimal: 4.6727 | reward_pref: -9.2602 | reward_npref: -8.1585
[      30 points] regret_avg: 18.6854 | regret_pref: 3.0000 | reward_optimal: 15.6542 | reward_pref: -3.0311 | reward_npref: -2.6036
[      35 points] regret_avg: 27.6457 | regret_pref: 4.0000 | reward_optimal: 15.7591 | reward_pref: -11.8866 | reward_npref: -5.2516
[      40 points] regret_avg: 27.9127 | regret_pref: 5.0000 | reward_optimal: 16.2276 | reward_pref: -11.6851 | reward_npref: -4.8357
[      45 points] regret_avg: 34.5256 | regret_pref: 5.0000 | reward_optimal: 16.0953 | reward_pref: -18.4303 | reward_npref: -16.1517
[      50 points] regret_avg: 34.5710 | regret_pref: 6.0000 | reward_optimal: 16.1325 | reward_pref: -18.4385 | reward_npref: -16.1545
[      55 points] regret_avg: 34.8154 | regret_pref: 6.0000 | reward_optimal: 18.1809 | reward_pref: -16.6345 | reward_npref: -14.4720
[      60 points] regret_avg: 36.2558 | regret_pref: 7.0000 | reward_optimal: 18.3180 | reward_pref: -17.9379 | reward_npref: -14.9385
[      65 points] regret_avg: 36.2558 | regret_pref: 7.0000 | reward_optimal: 25.8678 | reward_pref: -10.3880 | reward_npref: -10.6398
[      70 points] regret_avg: 36.2558 | regret_pref: 7.0000 | reward_optimal: 39.2715 | reward_pref: 3.0157 | reward_npref: -4.7265
[      75 points] regret_avg: 40.3038 | regret_pref: 7.0000 | reward_optimal: 39.2933 | reward_pref: -1.0104 | reward_npref: -11.5634
[      80 points] regret_avg: 45.7633 | regret_pref: 8.0000 | reward_optimal: 48.1701 | reward_pref: 2.4068 | reward_npref: -3.2364
[      85 points] regret_avg: 47.3197 | regret_pref: 8.0000 | reward_optimal: 60.6835 | reward_pref: 13.3637 | reward_npref: 6.1654
[      90 points] regret_avg: 47.7334 | regret_pref: 8.0000 | reward_optimal: 63.0247 | reward_pref: 15.2914 | reward_npref: 6.9357
[      95 points] regret_avg: 59.9547 | regret_pref: 9.0000 | reward_optimal: 62.8637 | reward_pref: 2.9090 | reward_npref: 1.5895
[     100 points] regret_avg: 70.3039 | regret_pref: 9.0000 | reward_optimal: 77.9945 | reward_pref: 7.6906 | reward_npref: 4.5214
[     105 points] regret_avg: 73.1454 | regret_pref: 9.0000 | reward_optimal: 77.6752 | reward_pref: 4.5298 | reward_npref: -6.1207
[     110 points] regret_avg: 76.2995 | regret_pref: 9.0000 | reward_optimal: 84.9997 | reward_pref: 8.7003 | reward_npref: -4.5339
[     115 points] regret_avg: 85.9503 | regret_pref: 10.0000 | reward_optimal: 96.3590 | reward_pref: 10.4087 | reward_npref: 1.9002
[     120 points] regret_avg: 89.6154 | regret_pref: 11.0000 | reward_optimal: 96.8747 | reward_pref: 7.2593 | reward_npref: -0.8763
[     125 points] regret_avg: 93.7228 | regret_pref: 12.0000 | reward_optimal: 97.1029 | reward_pref: 3.3801 | reward_npref: -2.9585
[     130 points] regret_avg: 93.7228 | regret_pref: 12.0000 | reward_optimal: 101.1558 | reward_pref: 7.4330 | reward_npref: -0.6076
[     135 points] regret_avg: 99.6284 | regret_pref: 13.0000 | reward_optimal: 101.3625 | reward_pref: 1.7342 | reward_npref: -5.9457
[     140 points] regret_avg: 102.8986 | regret_pref: 13.0000 | reward_optimal: 101.7667 | reward_pref: -1.1318 | reward_npref: -10.4781
[     145 points] regret_avg: 107.6281 | regret_pref: 14.0000 | reward_optimal: 101.4114 | reward_pref: -6.2167 | reward_npref: -13.7977
[     150 points] regret_avg: 113.7767 | regret_pref: 14.0000 | reward_optimal: 115.5449 | reward_pref: 1.7683 | reward_npref: -11.8051
[     155 points] regret_avg: 114.2607 | regret_pref: 14.0000 | reward_optimal: 116.5587 | reward_pref: 2.2980 | reward_npref: -11.5473
[     160 points] regret_avg: 114.4245 | regret_pref: 14.0000 | reward_optimal: 119.2865 | reward_pref: 4.8619 | reward_npref: -9.7921
[     165 points] regret_avg: 121.8716 | regret_pref: 15.0000 | reward_optimal: 119.3898 | reward_pref: -2.4818 | reward_npref: -11.4029
[     170 points] regret_avg: 130.6483 | regret_pref: 16.0000 | reward_optimal: 133.5296 | reward_pref: 2.8813 | reward_npref: -1.6616
[     175 points] regret_avg: 135.3699 | regret_pref: 17.0000 | reward_optimal: 134.1848 | reward_pref: -1.1851 | reward_npref: -1.0063
[     180 points] regret_avg: 138.6061 | regret_pref: 17.0000 | reward_optimal: 141.6821 | reward_pref: 3.0760 | reward_npref: 1.8879
[     185 points] regret_avg: 141.1571 | regret_pref: 18.0000 | reward_optimal: 141.9625 | reward_pref: 0.8055 | reward_npref: 1.5226
[     190 points] regret_avg: 143.7080 | regret_pref: 19.0000 | reward_optimal: 142.3895 | reward_pref: -1.3185 | reward_npref: 0.4375
[     195 points] regret_avg: 147.2860 | regret_pref: 20.0000 | reward_optimal: 142.8400 | reward_pref: -4.4460 | reward_npref: -0.8665
