[       5 points] regret_avg: 5.7616 | regret_pref: 0.0000 | reward_optimal: -0.0915 | reward_pref: -5.8531 | reward_npref: -8.1006
[      10 points] regret_avg: 15.2799 | regret_pref: 0.0000 | reward_optimal: -0.7381 | reward_pref: -16.0180 | reward_npref: -20.1222
[      15 points] regret_avg: 16.0851 | regret_pref: 0.0000 | reward_optimal: 5.8215 | reward_pref: -10.2636 | reward_npref: -18.6102
[      20 points] regret_avg: 18.7574 | regret_pref: 0.0000 | reward_optimal: 11.2842 | reward_pref: -7.4732 | reward_npref: -17.6410
[      25 points] regret_avg: 26.3364 | regret_pref: 1.0000 | reward_optimal: 20.4005 | reward_pref: -5.9359 | reward_npref: -11.8941
[      30 points] regret_avg: 28.4894 | regret_pref: 1.0000 | reward_optimal: 20.6961 | reward_pref: -7.7933 | reward_npref: -18.5268
[      35 points] regret_avg: 31.5960 | regret_pref: 1.0000 | reward_optimal: 20.8956 | reward_pref: -10.7003 | reward_npref: -22.1036
[      40 points] regret_avg: 31.7473 | regret_pref: 1.0000 | reward_optimal: 21.4197 | reward_pref: -10.3276 | reward_npref: -21.7892
[      45 points] regret_avg: 32.6880 | regret_pref: 1.0000 | reward_optimal: 21.6343 | reward_pref: -11.0537 | reward_npref: -27.8307
[      50 points] regret_avg: 36.6579 | regret_pref: 2.0000 | reward_optimal: 27.6060 | reward_pref: -9.0518 | reward_npref: -22.2262
[      55 points] regret_avg: 39.6097 | regret_pref: 3.0000 | reward_optimal: 27.0991 | reward_pref: -12.5106 | reward_npref: -22.7331
[      60 points] regret_avg: 40.1346 | regret_pref: 3.0000 | reward_optimal: 35.5883 | reward_pref: -4.5463 | reward_npref: -21.5021
[      65 points] regret_avg: 49.0537 | regret_pref: 3.0000 | reward_optimal: 51.4700 | reward_pref: 2.4164 | reward_npref: -16.5166
[      70 points] regret_avg: 55.7969 | regret_pref: 3.0000 | reward_optimal: 63.5909 | reward_pref: 7.7940 | reward_npref: -12.6120
[      75 points] regret_avg: 64.8205 | regret_pref: 3.0000 | reward_optimal: 63.1108 | reward_pref: -1.7097 | reward_npref: -25.5938
[      80 points] regret_avg: 68.2698 | regret_pref: 4.0000 | reward_optimal: 67.6920 | reward_pref: -0.5778 | reward_npref: -22.9524
[      85 points] regret_avg: 68.8004 | regret_pref: 4.0000 | reward_optimal: 67.9196 | reward_pref: -0.8808 | reward_npref: -24.5354
[      90 points] regret_avg: 69.4485 | regret_pref: 5.0000 | reward_optimal: 68.8707 | reward_pref: -0.5778 | reward_npref: -24.1388
[      95 points] regret_avg: 72.4130 | regret_pref: 5.0000 | reward_optimal: 74.9680 | reward_pref: 2.5550 | reward_npref: -21.3677
[     100 points] regret_avg: 76.5043 | regret_pref: 6.0000 | reward_optimal: 81.0931 | reward_pref: 4.5888 | reward_npref: -18.9757
[     105 points] regret_avg: 78.1496 | regret_pref: 6.0000 | reward_optimal: 81.8284 | reward_pref: 3.6788 | reward_npref: -20.6180
[     110 points] regret_avg: 79.2667 | regret_pref: 6.0000 | reward_optimal: 81.3281 | reward_pref: 2.0614 | reward_npref: -34.2636
[     115 points] regret_avg: 82.9380 | regret_pref: 6.0000 | reward_optimal: 81.1167 | reward_pref: -1.8213 | reward_npref: -46.2255
[     120 points] regret_avg: 88.1633 | regret_pref: 6.0000 | reward_optimal: 80.8900 | reward_pref: -7.2733 | reward_npref: -54.8683
[     125 points] regret_avg: 91.9917 | regret_pref: 6.0000 | reward_optimal: 81.2582 | reward_pref: -10.7335 | reward_npref: -61.4926
[     130 points] regret_avg: 96.6726 | regret_pref: 6.0000 | reward_optimal: 81.3085 | reward_pref: -15.3641 | reward_npref: -69.2781
[     135 points] regret_avg: 96.6726 | regret_pref: 6.0000 | reward_optimal: 81.9785 | reward_pref: -14.6941 | reward_npref: -70.3348
[     140 points] regret_avg: 97.0357 | regret_pref: 7.0000 | reward_optimal: 82.3362 | reward_pref: -14.6995 | reward_npref: -70.2954
[     145 points] regret_avg: 102.2832 | regret_pref: 8.0000 | reward_optimal: 82.9032 | reward_pref: -19.3800 | reward_npref: -71.0103
[     150 points] regret_avg: 102.5271 | regret_pref: 8.0000 | reward_optimal: 83.5192 | reward_pref: -19.0079 | reward_npref: -70.7309
[     155 points] regret_avg: 103.0353 | regret_pref: 8.0000 | reward_optimal: 85.2917 | reward_pref: -17.7436 | reward_npref: -69.8453
[     160 points] regret_avg: 105.8939 | regret_pref: 8.0000 | reward_optimal: 96.8246 | reward_pref: -9.0693 | reward_npref: -67.4662
[     165 points] regret_avg: 109.1948 | regret_pref: 8.0000 | reward_optimal: 96.7519 | reward_pref: -12.4429 | reward_npref: -72.2752
[     170 points] regret_avg: 109.1948 | regret_pref: 8.0000 | reward_optimal: 96.7221 | reward_pref: -12.4727 | reward_npref: -76.4393
[     175 points] regret_avg: 109.5164 | regret_pref: 9.0000 | reward_optimal: 97.2592 | reward_pref: -12.2572 | reward_npref: -76.1738
