[       5 points] regret_avg: 1.0074 | regret_pref: 0.0000 | reward_optimal: 0.4611 | reward_pref: -0.5463 | reward_npref: -2.5527
[      10 points] regret_avg: 1.6795 | regret_pref: 0.0000 | reward_optimal: 2.4140 | reward_pref: 0.7345 | reward_npref: -1.4835
[      15 points] regret_avg: 6.4988 | regret_pref: 0.0000 | reward_optimal: 15.3445 | reward_pref: 8.8457 | reward_npref: 1.8631
[      20 points] regret_avg: 6.7802 | regret_pref: 1.0000 | reward_optimal: 15.8378 | reward_pref: 9.0576 | reward_npref: 2.3563
[      25 points] regret_avg: 7.6470 | regret_pref: 2.0000 | reward_optimal: 16.7531 | reward_pref: 9.1061 | reward_npref: 2.7419
[      30 points] regret_avg: 10.9488 | regret_pref: 2.0000 | reward_optimal: 16.6109 | reward_pref: 5.6621 | reward_npref: -2.8797
[      35 points] regret_avg: 10.9488 | regret_pref: 2.0000 | reward_optimal: 29.8778 | reward_pref: 18.9289 | reward_npref: 3.8037
[      40 points] regret_avg: 15.8864 | regret_pref: 3.0000 | reward_optimal: 29.2060 | reward_pref: 13.3196 | reward_npref: 0.1018
[      45 points] regret_avg: 16.0479 | regret_pref: 3.0000 | reward_optimal: 30.0556 | reward_pref: 14.0078 | reward_npref: 0.5942
[      50 points] regret_avg: 20.1128 | regret_pref: 3.0000 | reward_optimal: 30.1230 | reward_pref: 10.0101 | reward_npref: -8.1282
[      55 points] regret_avg: 22.2424 | regret_pref: 3.0000 | reward_optimal: 30.6937 | reward_pref: 8.4513 | reward_npref: -12.2341
[      60 points] regret_avg: 27.7645 | regret_pref: 3.0000 | reward_optimal: 30.8625 | reward_pref: 3.0981 | reward_npref: -21.8554
[      65 points] regret_avg: 29.5990 | regret_pref: 3.0000 | reward_optimal: 31.4640 | reward_pref: 1.8650 | reward_npref: -23.6990
[      70 points] regret_avg: 36.5476 | regret_pref: 4.0000 | reward_optimal: 39.8846 | reward_pref: 3.3370 | reward_npref: -21.8460
[      75 points] regret_avg: 39.5436 | regret_pref: 5.0000 | reward_optimal: 40.3710 | reward_pref: 0.8274 | reward_npref: -24.1150
[      80 points] regret_avg: 45.4899 | regret_pref: 6.0000 | reward_optimal: 40.3845 | reward_pref: -5.1054 | reward_npref: -27.3168
[      85 points] regret_avg: 48.8880 | regret_pref: 6.0000 | reward_optimal: 54.0411 | reward_pref: 5.1532 | reward_npref: -24.6140
[      90 points] regret_avg: 50.2644 | regret_pref: 7.0000 | reward_optimal: 54.3258 | reward_pref: 4.0614 | reward_npref: -25.3852
[      95 points] regret_avg: 51.5832 | regret_pref: 7.0000 | reward_optimal: 59.6845 | reward_pref: 8.1013 | reward_npref: -24.1966
[     100 points] regret_avg: 51.9727 | regret_pref: 7.0000 | reward_optimal: 60.0578 | reward_pref: 8.0852 | reward_npref: -24.3111
[     105 points] regret_avg: 53.8202 | regret_pref: 8.0000 | reward_optimal: 60.9723 | reward_pref: 7.1522 | reward_npref: -24.5008
[     110 points] regret_avg: 55.2147 | regret_pref: 8.0000 | reward_optimal: 66.6864 | reward_pref: 11.4716 | reward_npref: -21.8934
[     115 points] regret_avg: 55.9305 | regret_pref: 8.0000 | reward_optimal: 67.3088 | reward_pref: 11.3783 | reward_npref: -22.1769
[     120 points] regret_avg: 59.3540 | regret_pref: 8.0000 | reward_optimal: 81.0594 | reward_pref: 21.7054 | reward_npref: -13.5591
[     125 points] regret_avg: 65.0156 | regret_pref: 8.0000 | reward_optimal: 81.0202 | reward_pref: 16.0045 | reward_npref: -22.9094
[     130 points] regret_avg: 70.3196 | regret_pref: 8.0000 | reward_optimal: 95.2234 | reward_pref: 24.9037 | reward_npref: -15.7736
[     135 points] regret_avg: 70.3196 | regret_pref: 8.0000 | reward_optimal: 108.4210 | reward_pref: 38.1014 | reward_npref: -13.8635
[     140 points] regret_avg: 73.2344 | regret_pref: 9.0000 | reward_optimal: 108.7814 | reward_pref: 35.5470 | reward_npref: -14.6805
[     145 points] regret_avg: 80.4603 | regret_pref: 10.0000 | reward_optimal: 117.5087 | reward_pref: 37.0484 | reward_npref: -7.0301
[     150 points] regret_avg: 81.2966 | regret_pref: 10.0000 | reward_optimal: 117.7011 | reward_pref: 36.4045 | reward_npref: -10.8916
[     155 points] regret_avg: 87.1239 | regret_pref: 10.0000 | reward_optimal: 117.5548 | reward_pref: 30.4309 | reward_npref: -17.6300
[     160 points] regret_avg: 87.6052 | regret_pref: 11.0000 | reward_optimal: 118.7784 | reward_pref: 31.1733 | reward_npref: -16.5481
[     165 points] regret_avg: 99.1986 | regret_pref: 12.0000 | reward_optimal: 133.2062 | reward_pref: 34.0076 | reward_npref: -12.8471
[     170 points] regret_avg: 101.7792 | regret_pref: 12.0000 | reward_optimal: 133.0278 | reward_pref: 31.2487 | reward_npref: -17.0992
[     175 points] regret_avg: 104.3343 | regret_pref: 13.0000 | reward_optimal: 133.8632 | reward_pref: 29.5289 | reward_npref: -17.6085
[     180 points] regret_avg: 111.2179 | regret_pref: 14.0000 | reward_optimal: 146.2263 | reward_pref: 35.0083 | reward_npref: -11.3697
[     185 points] regret_avg: 111.8634 | regret_pref: 15.0000 | reward_optimal: 147.2932 | reward_pref: 35.4298 | reward_npref: -10.6453
[     190 points] regret_avg: 118.0706 | regret_pref: 15.0000 | reward_optimal: 161.5547 | reward_pref: 43.4840 | reward_npref: -5.2367
[     195 points] regret_avg: 118.5864 | regret_pref: 15.0000 | reward_optimal: 162.3259 | reward_pref: 43.7395 | reward_npref: -5.0061
[     200 points] regret_avg: 118.5864 | regret_pref: 15.0000 | reward_optimal: 163.7300 | reward_pref: 45.1436 | reward_npref: -4.4381
[     205 points] regret_avg: 118.8858 | regret_pref: 15.0000 | reward_optimal: 168.5824 | reward_pref: 49.6965 | reward_npref: -1.3765
[     210 points] regret_avg: 119.5704 | regret_pref: 16.0000 | reward_optimal: 169.9146 | reward_pref: 50.3442 | reward_npref: -0.0443
[     215 points] regret_avg: 124.2705 | regret_pref: 16.0000 | reward_optimal: 184.9990 | reward_pref: 60.7285 | reward_npref: 1.9827
[     220 points] regret_avg: 125.4966 | regret_pref: 16.0000 | reward_optimal: 186.8954 | reward_pref: 61.3988 | reward_npref: 2.5577
[     225 points] regret_avg: 125.4966 | regret_pref: 16.0000 | reward_optimal: 196.1920 | reward_pref: 70.6955 | reward_npref: 7.8470
[     230 points] regret_avg: 127.7452 | regret_pref: 16.0000 | reward_optimal: 196.5955 | reward_pref: 68.8503 | reward_npref: 5.5738
[     235 points] regret_avg: 132.0111 | regret_pref: 17.0000 | reward_optimal: 205.2760 | reward_pref: 73.2649 | reward_npref: 11.0475
[     240 points] regret_avg: 134.2577 | regret_pref: 17.0000 | reward_optimal: 217.3323 | reward_pref: 83.0746 | reward_npref: 16.3839
[     245 points] regret_avg: 135.6070 | regret_pref: 17.0000 | reward_optimal: 221.7943 | reward_pref: 86.1873 | reward_npref: 18.7031
[     250 points] regret_avg: 141.7373 | regret_pref: 18.0000 | reward_optimal: 230.2256 | reward_pref: 88.4882 | reward_npref: 22.9960
[     255 points] regret_avg: 143.2508 | regret_pref: 18.0000 | reward_optimal: 242.4047 | reward_pref: 99.1539 | reward_npref: 32.1498
[     260 points] regret_avg: 148.1469 | regret_pref: 18.0000 | reward_optimal: 242.7197 | reward_pref: 94.5728 | reward_npref: 23.8928
[     265 points] regret_avg: 156.8953 | regret_pref: 19.0000 | reward_optimal: 242.8180 | reward_pref: 85.9226 | reward_npref: 18.7510
[     270 points] regret_avg: 156.8953 | regret_pref: 19.0000 | reward_optimal: 244.3631 | reward_pref: 87.4678 | reward_npref: 19.4088
[     275 points] regret_avg: 156.8953 | regret_pref: 19.0000 | reward_optimal: 253.1322 | reward_pref: 96.2369 | reward_npref: 24.9380
[     280 points] regret_avg: 157.4624 | regret_pref: 19.0000 | reward_optimal: 262.2941 | reward_pref: 104.8317 | reward_npref: 30.1438
[     285 points] regret_avg: 159.8939 | regret_pref: 20.0000 | reward_optimal: 270.1861 | reward_pref: 110.2922 | reward_npref: 36.5750
[     290 points] regret_avg: 167.0321 | regret_pref: 20.0000 | reward_optimal: 280.7597 | reward_pref: 113.7277 | reward_npref: 37.9601
[     295 points] regret_avg: 167.0321 | regret_pref: 20.0000 | reward_optimal: 285.6443 | reward_pref: 118.6123 | reward_npref: 40.1992
[     300 points] regret_avg: 167.9184 | regret_pref: 20.0000 | reward_optimal: 286.0252 | reward_pref: 118.1069 | reward_npref: 34.2335
[     305 points] regret_avg: 172.5905 | regret_pref: 20.0000 | reward_optimal: 296.8329 | reward_pref: 124.2423 | reward_npref: 36.4978
[     310 points] regret_avg: 178.9006 | regret_pref: 20.0000 | reward_optimal: 296.4159 | reward_pref: 117.5153 | reward_npref: 26.3624
[     315 points] regret_avg: 186.0679 | regret_pref: 21.0000 | reward_optimal: 308.0177 | reward_pref: 121.9498 | reward_npref: 31.5058
[     320 points] regret_avg: 189.8982 | regret_pref: 22.0000 | reward_optimal: 308.5221 | reward_pref: 118.6238 | reward_npref: 30.5268
[     325 points] regret_avg: 193.2296 | regret_pref: 22.0000 | reward_optimal: 321.9237 | reward_pref: 128.6940 | reward_npref: 33.9994
[     330 points] regret_avg: 197.7315 | regret_pref: 22.0000 | reward_optimal: 336.3866 | reward_pref: 138.6551 | reward_npref: 35.2730
[     335 points] regret_avg: 201.6784 | regret_pref: 22.0000 | reward_optimal: 335.9236 | reward_pref: 134.2452 | reward_npref: 26.3223
[     340 points] regret_avg: 203.3722 | regret_pref: 23.0000 | reward_optimal: 338.3224 | reward_pref: 134.9502 | reward_npref: 28.1377
[     345 points] regret_avg: 204.8122 | regret_pref: 24.0000 | reward_optimal: 340.5003 | reward_pref: 135.6881 | reward_npref: 29.8013
[     350 points] regret_avg: 210.8907 | regret_pref: 24.0000 | reward_optimal: 340.3104 | reward_pref: 129.4197 | reward_npref: 17.1515
[     355 points] regret_avg: 212.4140 | regret_pref: 24.0000 | reward_optimal: 344.4843 | reward_pref: 132.0704 | reward_npref: 19.3030
[     360 points] regret_avg: 212.5248 | regret_pref: 25.0000 | reward_optimal: 344.7845 | reward_pref: 132.2597 | reward_npref: 19.5070
[     365 points] regret_avg: 216.1267 | regret_pref: 26.0000 | reward_optimal: 349.8234 | reward_pref: 133.6968 | reward_npref: 22.3989
