[       5 points] regret_avg: 0.3503 | regret_pref: 0.0000 | reward_optimal: 1.9510 | reward_pref: 1.6008 | reward_npref: 1.4850
[      10 points] regret_avg: 0.9045 | regret_pref: 0.0000 | reward_optimal: 2.6276 | reward_pref: 1.7231 | reward_npref: -0.4718
[      15 points] regret_avg: 2.5643 | regret_pref: 0.0000 | reward_optimal: 11.5854 | reward_pref: 9.0210 | reward_npref: 2.9955
[      20 points] regret_avg: 3.3266 | regret_pref: 0.0000 | reward_optimal: 12.7807 | reward_pref: 9.4540 | reward_npref: 3.3256
[      25 points] regret_avg: 3.6135 | regret_pref: 0.0000 | reward_optimal: 13.1743 | reward_pref: 9.5608 | reward_npref: 2.5176
[      30 points] regret_avg: 8.0137 | regret_pref: 0.0000 | reward_optimal: 13.1808 | reward_pref: 5.1671 | reward_npref: -3.8265
[      35 points] regret_avg: 11.7969 | regret_pref: 1.0000 | reward_optimal: 13.4757 | reward_pref: 1.6788 | reward_npref: -5.9292
[      40 points] regret_avg: 17.7628 | regret_pref: 2.0000 | reward_optimal: 20.7261 | reward_pref: 2.9633 | reward_npref: 1.3213
[      45 points] regret_avg: 17.7628 | regret_pref: 2.0000 | reward_optimal: 21.5504 | reward_pref: 3.7876 | reward_npref: 0.9947
[      50 points] regret_avg: 17.7628 | regret_pref: 2.0000 | reward_optimal: 21.8370 | reward_pref: 4.0742 | reward_npref: 0.9228
[      55 points] regret_avg: 19.7489 | regret_pref: 3.0000 | reward_optimal: 22.6100 | reward_pref: 2.8612 | reward_npref: 0.1992
[      60 points] regret_avg: 21.3083 | regret_pref: 3.0000 | reward_optimal: 26.8838 | reward_pref: 5.5755 | reward_npref: 1.2285
[      65 points] regret_avg: 21.9492 | regret_pref: 3.0000 | reward_optimal: 30.4176 | reward_pref: 8.4685 | reward_npref: 2.0802
[      70 points] regret_avg: 22.1277 | regret_pref: 4.0000 | reward_optimal: 30.7095 | reward_pref: 8.5817 | reward_npref: 2.2554
[      75 points] regret_avg: 22.3132 | regret_pref: 5.0000 | reward_optimal: 31.0001 | reward_pref: 8.6868 | reward_npref: 2.5461
[      80 points] regret_avg: 32.9016 | regret_pref: 6.0000 | reward_optimal: 30.5419 | reward_pref: -2.3597 | reward_npref: -7.6459
[      85 points] regret_avg: 33.8198 | regret_pref: 6.0000 | reward_optimal: 30.8459 | reward_pref: -2.9740 | reward_npref: -8.9068
[      90 points] regret_avg: 36.5293 | regret_pref: 6.0000 | reward_optimal: 30.7825 | reward_pref: -5.7468 | reward_npref: -17.6733
[      95 points] regret_avg: 40.2087 | regret_pref: 7.0000 | reward_optimal: 37.4395 | reward_pref: -2.7693 | reward_npref: -13.8859
[     100 points] regret_avg: 40.2087 | regret_pref: 7.0000 | reward_optimal: 36.9802 | reward_pref: -3.2285 | reward_npref: -20.0686
[     105 points] regret_avg: 45.4652 | regret_pref: 7.0000 | reward_optimal: 51.0630 | reward_pref: 5.5978 | reward_npref: -18.1097
[     110 points] regret_avg: 48.3192 | regret_pref: 7.0000 | reward_optimal: 55.8473 | reward_pref: 7.5281 | reward_npref: -17.0437
[     115 points] regret_avg: 48.3192 | regret_pref: 7.0000 | reward_optimal: 68.7766 | reward_pref: 20.4574 | reward_npref: -14.4360
[     120 points] regret_avg: 48.9263 | regret_pref: 7.0000 | reward_optimal: 68.9829 | reward_pref: 20.0566 | reward_npref: -14.9172
[     125 points] regret_avg: 49.8104 | regret_pref: 7.0000 | reward_optimal: 72.5860 | reward_pref: 22.7755 | reward_npref: -14.2367
[     130 points] regret_avg: 49.8104 | regret_pref: 7.0000 | reward_optimal: 82.3742 | reward_pref: 32.5637 | reward_npref: -11.6386
[     135 points] regret_avg: 53.9253 | regret_pref: 8.0000 | reward_optimal: 82.8059 | reward_pref: 28.8805 | reward_npref: -13.1732
[     140 points] regret_avg: 54.7199 | regret_pref: 9.0000 | reward_optimal: 84.6825 | reward_pref: 29.9625 | reward_npref: -11.2966
[     145 points] regret_avg: 61.5464 | regret_pref: 9.0000 | reward_optimal: 84.4927 | reward_pref: 22.9463 | reward_npref: -19.1064
[     150 points] regret_avg: 68.3939 | regret_pref: 9.0000 | reward_optimal: 83.8948 | reward_pref: 15.5010 | reward_npref: -32.1856
[     155 points] regret_avg: 71.9213 | regret_pref: 9.0000 | reward_optimal: 98.0527 | reward_pref: 26.1314 | reward_npref: -30.2534
[     160 points] regret_avg: 74.5404 | regret_pref: 9.0000 | reward_optimal: 98.3239 | reward_pref: 23.7835 | reward_npref: -35.9481
[     165 points] regret_avg: 76.8788 | regret_pref: 10.0000 | reward_optimal: 102.2862 | reward_pref: 25.4074 | reward_npref: -33.8766
[     170 points] regret_avg: 77.5126 | regret_pref: 11.0000 | reward_optimal: 103.3826 | reward_pref: 25.8700 | reward_npref: -33.1427
[     175 points] regret_avg: 79.6573 | regret_pref: 11.0000 | reward_optimal: 103.6956 | reward_pref: 24.0383 | reward_npref: -35.2918
[     180 points] regret_avg: 80.6809 | regret_pref: 11.0000 | reward_optimal: 104.0926 | reward_pref: 23.4117 | reward_npref: -36.9681
[     185 points] regret_avg: 81.5027 | regret_pref: 11.0000 | reward_optimal: 105.5762 | reward_pref: 24.0735 | reward_npref: -36.4247
[     190 points] regret_avg: 83.3128 | regret_pref: 12.0000 | reward_optimal: 106.2628 | reward_pref: 22.9500 | reward_npref: -36.6053
[     195 points] regret_avg: 84.8692 | regret_pref: 13.0000 | reward_optimal: 106.9636 | reward_pref: 22.0943 | reward_npref: -36.7553
[     200 points] regret_avg: 89.2946 | regret_pref: 13.0000 | reward_optimal: 114.1969 | reward_pref: 24.9023 | reward_npref: -34.3746
[     205 points] regret_avg: 91.0732 | regret_pref: 14.0000 | reward_optimal: 114.8429 | reward_pref: 23.7697 | reward_npref: -35.3423
[     210 points] regret_avg: 91.6957 | regret_pref: 14.0000 | reward_optimal: 115.3777 | reward_pref: 23.6819 | reward_npref: -35.4933
[     215 points] regret_avg: 95.2883 | regret_pref: 14.0000 | reward_optimal: 125.0790 | reward_pref: 29.7907 | reward_npref: -34.1436
[     220 points] regret_avg: 95.4081 | regret_pref: 14.0000 | reward_optimal: 127.1136 | reward_pref: 31.7055 | reward_npref: -33.1484
[     225 points] regret_avg: 95.4081 | regret_pref: 14.0000 | reward_optimal: 128.7521 | reward_pref: 33.3440 | reward_npref: -32.2829
[     230 points] regret_avg: 97.9940 | regret_pref: 14.0000 | reward_optimal: 142.5954 | reward_pref: 44.6014 | reward_npref: -24.4680
[     235 points] regret_avg: 102.1584 | regret_pref: 15.0000 | reward_optimal: 147.5791 | reward_pref: 45.4207 | reward_npref: -20.7116
[     240 points] regret_avg: 102.1584 | regret_pref: 15.0000 | reward_optimal: 147.8612 | reward_pref: 45.7027 | reward_npref: -21.9287
[     245 points] regret_avg: 104.7838 | regret_pref: 15.0000 | reward_optimal: 151.8191 | reward_pref: 47.0352 | reward_npref: -21.0162
[     250 points] regret_avg: 105.4337 | regret_pref: 15.0000 | reward_optimal: 151.9644 | reward_pref: 46.5307 | reward_npref: -22.8342
[     255 points] regret_avg: 105.4337 | regret_pref: 15.0000 | reward_optimal: 154.5009 | reward_pref: 49.0672 | reward_npref: -21.6923
[     260 points] regret_avg: 108.9178 | regret_pref: 15.0000 | reward_optimal: 154.3025 | reward_pref: 45.3847 | reward_npref: -29.2255
[     265 points] regret_avg: 116.6402 | regret_pref: 16.0000 | reward_optimal: 154.4903 | reward_pref: 37.8501 | reward_npref: -33.2043
[     270 points] regret_avg: 119.2179 | regret_pref: 16.0000 | reward_optimal: 154.9830 | reward_pref: 35.7650 | reward_npref: -37.5473
[     275 points] regret_avg: 122.4651 | regret_pref: 17.0000 | reward_optimal: 155.2259 | reward_pref: 32.7608 | reward_npref: -38.0448
[     280 points] regret_avg: 122.4651 | regret_pref: 17.0000 | reward_optimal: 155.2429 | reward_pref: 32.7778 | reward_npref: -43.8265
[     285 points] regret_avg: 125.9235 | regret_pref: 18.0000 | reward_optimal: 163.2785 | reward_pref: 37.3550 | reward_npref: -37.7724
[     290 points] regret_avg: 132.2880 | regret_pref: 18.0000 | reward_optimal: 162.9200 | reward_pref: 30.6320 | reward_npref: -47.0562
[     295 points] regret_avg: 144.8627 | regret_pref: 19.0000 | reward_optimal: 162.5237 | reward_pref: 17.6610 | reward_npref: -51.2962
[     300 points] regret_avg: 146.4784 | regret_pref: 20.0000 | reward_optimal: 163.1758 | reward_pref: 16.6974 | reward_npref: -51.3120
[     305 points] regret_avg: 147.1347 | regret_pref: 20.0000 | reward_optimal: 168.5095 | reward_pref: 21.3748 | reward_npref: -50.1106
[     310 points] regret_avg: 147.1347 | regret_pref: 20.0000 | reward_optimal: 168.7348 | reward_pref: 21.6001 | reward_npref: -50.5721
[     315 points] regret_avg: 150.4962 | regret_pref: 20.0000 | reward_optimal: 182.2517 | reward_pref: 31.7555 | reward_npref: -44.6023
[     320 points] regret_avg: 151.7634 | regret_pref: 20.0000 | reward_optimal: 186.4524 | reward_pref: 34.6889 | reward_npref: -43.3300
[     325 points] regret_avg: 153.2507 | regret_pref: 20.0000 | reward_optimal: 186.7655 | reward_pref: 33.5147 | reward_npref: -44.8241
[     330 points] regret_avg: 155.6488 | regret_pref: 21.0000 | reward_optimal: 190.3476 | reward_pref: 34.6988 | reward_npref: -41.6736
[     335 points] regret_avg: 156.6209 | regret_pref: 22.0000 | reward_optimal: 191.8018 | reward_pref: 35.1809 | reward_npref: -40.6426
[     340 points] regret_avg: 158.0484 | regret_pref: 23.0000 | reward_optimal: 192.6878 | reward_pref: 34.6394 | reward_npref: -40.7864
[     345 points] regret_avg: 160.6258 | regret_pref: 23.0000 | reward_optimal: 192.9367 | reward_pref: 32.3110 | reward_npref: -45.1630
[     350 points] regret_avg: 161.5785 | regret_pref: 23.0000 | reward_optimal: 193.0933 | reward_pref: 31.5148 | reward_npref: -53.2715
[     355 points] regret_avg: 166.9041 | regret_pref: 23.0000 | reward_optimal: 202.6962 | reward_pref: 35.7921 | reward_npref: -50.7165
[     360 points] regret_avg: 167.0947 | regret_pref: 23.0000 | reward_optimal: 205.8468 | reward_pref: 38.7520 | reward_npref: -47.9467
[     365 points] regret_avg: 170.1344 | regret_pref: 23.0000 | reward_optimal: 212.0885 | reward_pref: 41.9541 | reward_npref: -46.6941
[     370 points] regret_avg: 173.9399 | regret_pref: 24.0000 | reward_optimal: 212.8281 | reward_pref: 38.8882 | reward_npref: -47.5474
[     375 points] regret_avg: 174.5973 | regret_pref: 24.0000 | reward_optimal: 216.4081 | reward_pref: 41.8108 | reward_npref: -46.7983
[     380 points] regret_avg: 175.4536 | regret_pref: 24.0000 | reward_optimal: 216.8861 | reward_pref: 41.4325 | reward_npref: -47.3398
[     385 points] regret_avg: 176.1911 | regret_pref: 24.0000 | reward_optimal: 222.8528 | reward_pref: 46.6617 | reward_npref: -44.3097
[     390 points] regret_avg: 186.4481 | regret_pref: 25.0000 | reward_optimal: 235.7109 | reward_pref: 49.2629 | reward_npref: -40.9565
[     395 points] regret_avg: 189.5556 | regret_pref: 25.0000 | reward_optimal: 235.9477 | reward_pref: 46.3920 | reward_npref: -44.4210
[     400 points] regret_avg: 190.5106 | regret_pref: 26.0000 | reward_optimal: 236.8654 | reward_pref: 46.3548 | reward_npref: -44.2639
[     405 points] regret_avg: 193.0828 | regret_pref: 26.0000 | reward_optimal: 250.6548 | reward_pref: 57.5719 | reward_npref: -40.6979
