[       5 points] regret_avg: 0.5112 | regret_pref: 0.0000 | reward_optimal: 0.4563 | reward_pref: -0.0549 | reward_npref: -0.1496
[      10 points] regret_avg: 0.9783 | regret_pref: 0.0000 | reward_optimal: 0.8301 | reward_pref: -0.1481 | reward_npref: -0.2656
[      15 points] regret_avg: 1.4980 | regret_pref: 1.0000 | reward_optimal: 1.2845 | reward_pref: -0.2135 | reward_npref: -0.3188
[      20 points] regret_avg: 1.8612 | regret_pref: 1.0000 | reward_optimal: 1.5027 | reward_pref: -0.3585 | reward_npref: -0.5365
[      25 points] regret_avg: 1.9963 | regret_pref: 1.0000 | reward_optimal: 1.9236 | reward_pref: -0.0728 | reward_npref: -0.3377
[      30 points] regret_avg: 2.3602 | regret_pref: 1.0000 | reward_optimal: 2.8219 | reward_pref: 0.4617 | reward_npref: 0.1475
[      35 points] regret_avg: 2.8226 | regret_pref: 2.0000 | reward_optimal: 3.2503 | reward_pref: 0.4276 | reward_npref: 0.2148
[      40 points] regret_avg: 3.1085 | regret_pref: 2.0000 | reward_optimal: 3.5116 | reward_pref: 0.4031 | reward_npref: -0.1002
[      45 points] regret_avg: 3.8389 | regret_pref: 2.0000 | reward_optimal: 3.8016 | reward_pref: -0.0373 | reward_npref: -0.8749
[      50 points] regret_avg: 4.1201 | regret_pref: 3.0000 | reward_optimal: 4.3852 | reward_pref: 0.2651 | reward_npref: -0.4331
[      55 points] regret_avg: 4.7378 | regret_pref: 4.0000 | reward_optimal: 4.7150 | reward_pref: -0.0228 | reward_npref: -0.6967
[      60 points] regret_avg: 4.8826 | regret_pref: 4.0000 | reward_optimal: 4.9942 | reward_pref: 0.1116 | reward_npref: -0.6399
[      65 points] regret_avg: 5.0097 | regret_pref: 4.0000 | reward_optimal: 5.4837 | reward_pref: 0.4739 | reward_npref: -0.4005
[      70 points] regret_avg: 5.0097 | regret_pref: 4.0000 | reward_optimal: 6.5909 | reward_pref: 1.5812 | reward_npref: 0.1225
