[       5 points] regret_avg: 0.1518 | regret_pref: 1.0000 | reward_optimal: 0.3336 | reward_pref: 0.1818 | reward_npref: 0.1926
[      10 points] regret_avg: 0.3568 | regret_pref: 1.0000 | reward_optimal: 0.7053 | reward_pref: 0.3485 | reward_npref: 0.0420
[      15 points] regret_avg: 0.5953 | regret_pref: 1.0000 | reward_optimal: 1.0870 | reward_pref: 0.4917 | reward_npref: 0.1570
[      20 points] regret_avg: 0.9228 | regret_pref: 2.0000 | reward_optimal: 1.4810 | reward_pref: 0.5582 | reward_npref: 0.2815
[      25 points] regret_avg: 1.3152 | regret_pref: 3.0000 | reward_optimal: 1.7448 | reward_pref: 0.4296 | reward_npref: 0.3975
[      30 points] regret_avg: 1.9761 | regret_pref: 3.0000 | reward_optimal: 2.0874 | reward_pref: 0.1113 | reward_npref: -0.0983
[      35 points] regret_avg: 2.1388 | regret_pref: 4.0000 | reward_optimal: 2.4485 | reward_pref: 0.3097 | reward_npref: 0.1808
[      40 points] regret_avg: 2.3360 | regret_pref: 4.0000 | reward_optimal: 2.8013 | reward_pref: 0.4653 | reward_npref: -0.0179
[      45 points] regret_avg: 2.3360 | regret_pref: 4.0000 | reward_optimal: 3.3393 | reward_pref: 1.0032 | reward_npref: 0.0980
[      50 points] regret_avg: 2.3360 | regret_pref: 4.0000 | reward_optimal: 3.6555 | reward_pref: 1.3195 | reward_npref: -0.1504
[      55 points] regret_avg: 2.5332 | regret_pref: 4.0000 | reward_optimal: 4.0932 | reward_pref: 1.5600 | reward_npref: 0.0485
[      60 points] regret_avg: 2.7853 | regret_pref: 4.0000 | reward_optimal: 4.5058 | reward_pref: 1.7205 | reward_npref: 0.1748
[      65 points] regret_avg: 2.9117 | regret_pref: 4.0000 | reward_optimal: 5.2331 | reward_pref: 2.3214 | reward_npref: 0.4543
[      70 points] regret_avg: 3.4542 | regret_pref: 5.0000 | reward_optimal: 5.5416 | reward_pref: 2.0874 | reward_npref: 0.3984
[      75 points] regret_avg: 3.7138 | regret_pref: 5.0000 | reward_optimal: 5.8243 | reward_pref: 2.1105 | reward_npref: 0.2139
[      80 points] regret_avg: 4.5303 | regret_pref: 6.0000 | reward_optimal: 6.1921 | reward_pref: 1.6617 | reward_npref: -0.1953
[      85 points] regret_avg: 4.7485 | regret_pref: 6.0000 | reward_optimal: 6.5570 | reward_pref: 1.8086 | reward_npref: -0.1371
[      90 points] regret_avg: 5.1790 | regret_pref: 6.0000 | reward_optimal: 7.0087 | reward_pref: 1.8297 | reward_npref: -0.3909
