[       5 points] regret_avg: 0.4988 | regret_pref: 1.0000 | reward_optimal: 0.4739 | reward_pref: -0.0249 | reward_npref: 0.1385
[      10 points] regret_avg: 0.9538 | regret_pref: 2.0000 | reward_optimal: 1.0163 | reward_pref: 0.0625 | reward_npref: 0.2327
[      15 points] regret_avg: 1.1180 | regret_pref: 2.0000 | reward_optimal: 1.4531 | reward_pref: 0.3352 | reward_npref: 0.4286
[      20 points] regret_avg: 1.3242 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.6434 | reward_npref: 0.7118
[      25 points] regret_avg: 1.7874 | regret_pref: 3.0000 | reward_optimal: 2.4744 | reward_pref: 0.6870 | reward_npref: 0.9320
[      30 points] regret_avg: 2.1021 | regret_pref: 4.0000 | reward_optimal: 2.8051 | reward_pref: 0.7030 | reward_npref: 0.9827
[      35 points] regret_avg: 2.1021 | regret_pref: 4.0000 | reward_optimal: 3.6671 | reward_pref: 1.5650 | reward_npref: 1.4521
[      40 points] regret_avg: 2.5145 | regret_pref: 5.0000 | reward_optimal: 3.8904 | reward_pref: 1.3759 | reward_npref: 1.3624
[      45 points] regret_avg: 2.7291 | regret_pref: 5.0000 | reward_optimal: 4.3464 | reward_pref: 1.6173 | reward_npref: 1.5194
[      50 points] regret_avg: 3.1137 | regret_pref: 5.0000 | reward_optimal: 4.6528 | reward_pref: 1.5391 | reward_npref: 1.2742
[      55 points] regret_avg: 3.4698 | regret_pref: 5.0000 | reward_optimal: 5.0046 | reward_pref: 1.5348 | reward_npref: 1.1182
[      60 points] regret_avg: 3.7581 | regret_pref: 6.0000 | reward_optimal: 5.4138 | reward_pref: 1.6557 | reward_npref: 1.2791
[      65 points] regret_avg: 4.2635 | regret_pref: 7.0000 | reward_optimal: 5.7441 | reward_pref: 1.4805 | reward_npref: 1.1778
[      70 points] regret_avg: 4.5786 | regret_pref: 8.0000 | reward_optimal: 6.2417 | reward_pref: 1.6632 | reward_npref: 1.4360
[      75 points] regret_avg: 5.0362 | regret_pref: 9.0000 | reward_optimal: 6.5908 | reward_pref: 1.5546 | reward_npref: 1.3436
[      80 points] regret_avg: 5.3844 | regret_pref: 10.0000 | reward_optimal: 6.9969 | reward_pref: 1.6125 | reward_npref: 1.4317
[      85 points] regret_avg: 5.7571 | regret_pref: 11.0000 | reward_optimal: 7.5802 | reward_pref: 1.8231 | reward_npref: 1.8807
[      90 points] regret_avg: 5.9732 | regret_pref: 12.0000 | reward_optimal: 7.9440 | reward_pref: 1.9708 | reward_npref: 2.0553
[      95 points] regret_avg: 6.1958 | regret_pref: 12.0000 | reward_optimal: 8.8782 | reward_pref: 2.6824 | reward_npref: 2.3268
[     100 points] regret_avg: 6.6303 | regret_pref: 12.0000 | reward_optimal: 9.1345 | reward_pref: 2.5041 | reward_npref: 1.9086
[     105 points] regret_avg: 6.9147 | regret_pref: 12.0000 | reward_optimal: 9.4623 | reward_pref: 2.5477 | reward_npref: 1.8746
[     110 points] regret_avg: 7.1185 | regret_pref: 12.0000 | reward_optimal: 10.3376 | reward_pref: 3.2191 | reward_npref: 2.3049
[     115 points] regret_avg: 7.5058 | regret_pref: 12.0000 | reward_optimal: 10.8127 | reward_pref: 3.3070 | reward_npref: 2.3361
[     120 points] regret_avg: 7.7526 | regret_pref: 12.0000 | reward_optimal: 11.8434 | reward_pref: 4.0908 | reward_npref: 2.9984
[     125 points] regret_avg: 8.2627 | regret_pref: 12.0000 | reward_optimal: 12.2133 | reward_pref: 3.9506 | reward_npref: 2.7209
[     130 points] regret_avg: 8.6579 | regret_pref: 12.0000 | reward_optimal: 13.3239 | reward_pref: 4.6661 | reward_npref: 3.3089
[     135 points] regret_avg: 8.6579 | regret_pref: 12.0000 | reward_optimal: 14.3702 | reward_pref: 5.7124 | reward_npref: 3.6116
[     140 points] regret_avg: 8.7707 | regret_pref: 12.0000 | reward_optimal: 14.7645 | reward_pref: 5.9938 | reward_npref: 3.7777
[     145 points] regret_avg: 9.2575 | regret_pref: 13.0000 | reward_optimal: 15.1967 | reward_pref: 5.9391 | reward_npref: 3.9846
[     150 points] regret_avg: 9.5187 | regret_pref: 13.0000 | reward_optimal: 15.6044 | reward_pref: 6.0856 | reward_npref: 3.7344
[     155 points] regret_avg: 10.1080 | regret_pref: 13.0000 | reward_optimal: 15.9966 | reward_pref: 5.8886 | reward_npref: 3.5002
[     160 points] regret_avg: 10.1080 | regret_pref: 13.0000 | reward_optimal: 16.3477 | reward_pref: 6.2397 | reward_npref: 3.0360
[     165 points] regret_avg: 10.6620 | regret_pref: 14.0000 | reward_optimal: 17.1267 | reward_pref: 6.4648 | reward_npref: 3.2883
[     170 points] regret_avg: 11.1217 | regret_pref: 14.0000 | reward_optimal: 17.2713 | reward_pref: 6.1496 | reward_npref: 2.7660
[     175 points] regret_avg: 11.1217 | regret_pref: 14.0000 | reward_optimal: 18.0597 | reward_pref: 6.9380 | reward_npref: 3.1126
[     180 points] regret_avg: 11.3710 | regret_pref: 14.0000 | reward_optimal: 18.4735 | reward_pref: 7.1024 | reward_npref: 3.2698
[     185 points] regret_avg: 11.3710 | regret_pref: 14.0000 | reward_optimal: 18.6511 | reward_pref: 7.2801 | reward_npref: 3.1092
[     190 points] regret_avg: 11.6206 | regret_pref: 14.0000 | reward_optimal: 19.2650 | reward_pref: 7.6444 | reward_npref: 3.3752
[     195 points] regret_avg: 11.9364 | regret_pref: 15.0000 | reward_optimal: 19.7643 | reward_pref: 7.8279 | reward_npref: 3.5655
[     200 points] regret_avg: 12.1866 | regret_pref: 16.0000 | reward_optimal: 20.1427 | reward_pref: 7.9561 | reward_npref: 3.7638
[     205 points] regret_avg: 12.2505 | regret_pref: 16.0000 | reward_optimal: 21.2060 | reward_pref: 8.9556 | reward_npref: 4.4475
[     210 points] regret_avg: 12.2505 | regret_pref: 16.0000 | reward_optimal: 21.5318 | reward_pref: 9.2813 | reward_npref: 4.0391
[     215 points] regret_avg: 12.7126 | regret_pref: 16.0000 | reward_optimal: 23.0500 | reward_pref: 10.3374 | reward_npref: 4.3553
[     220 points] regret_avg: 12.9362 | regret_pref: 17.0000 | reward_optimal: 23.2978 | reward_pref: 10.3616 | reward_npref: 4.3974
[     225 points] regret_avg: 12.9362 | regret_pref: 17.0000 | reward_optimal: 24.0895 | reward_pref: 11.1533 | reward_npref: 4.8697
[     230 points] regret_avg: 13.6202 | regret_pref: 18.0000 | reward_optimal: 24.3623 | reward_pref: 10.7421 | reward_npref: 4.5485
[     235 points] regret_avg: 13.8150 | regret_pref: 19.0000 | reward_optimal: 24.8256 | reward_pref: 11.0107 | reward_npref: 4.8597
[     240 points] regret_avg: 14.0821 | regret_pref: 19.0000 | reward_optimal: 25.1544 | reward_pref: 11.0724 | reward_npref: 4.9127
