[       5 points] regret_avg: 0.6793 | regret_pref: 0.0000 | reward_optimal: 0.3516 | reward_pref: -0.3277 | reward_npref: -0.4829
[      10 points] regret_avg: 1.4882 | regret_pref: 0.0000 | reward_optimal: 0.5012 | reward_pref: -0.9870 | reward_npref: -1.2685
[      15 points] regret_avg: 1.5671 | regret_pref: 0.0000 | reward_optimal: 0.9867 | reward_pref: -0.5804 | reward_npref: -1.0354
[      20 points] regret_avg: 1.9313 | regret_pref: 0.0000 | reward_optimal: 1.7639 | reward_pref: -0.1674 | reward_npref: -0.7277
[      25 points] regret_avg: 2.0968 | regret_pref: 0.0000 | reward_optimal: 2.0475 | reward_pref: -0.0494 | reward_npref: -0.8562
[      30 points] regret_avg: 2.5860 | regret_pref: 1.0000 | reward_optimal: 2.3908 | reward_pref: -0.1952 | reward_npref: -0.8203
[      35 points] regret_avg: 3.0275 | regret_pref: 1.0000 | reward_optimal: 2.8052 | reward_pref: -0.2223 | reward_npref: -0.8725
[      40 points] regret_avg: 3.2117 | regret_pref: 2.0000 | reward_optimal: 3.1470 | reward_pref: -0.0647 | reward_npref: -0.6946
[      45 points] regret_avg: 3.7717 | regret_pref: 3.0000 | reward_optimal: 3.6412 | reward_pref: -0.1305 | reward_npref: -0.4627
[      50 points] regret_avg: 4.1600 | regret_pref: 3.0000 | reward_optimal: 4.1510 | reward_pref: -0.0090 | reward_npref: -0.3680
[      55 points] regret_avg: 4.4169 | regret_pref: 4.0000 | reward_optimal: 4.4551 | reward_pref: 0.0382 | reward_npref: -0.0639
[      60 points] regret_avg: 4.4169 | regret_pref: 4.0000 | reward_optimal: 4.8843 | reward_pref: 0.4675 | reward_npref: 0.0217
[      65 points] regret_avg: 5.1729 | regret_pref: 4.0000 | reward_optimal: 6.2525 | reward_pref: 1.0796 | reward_npref: 0.4704
[      70 points] regret_avg: 5.4564 | regret_pref: 5.0000 | reward_optimal: 6.7434 | reward_pref: 1.2871 | reward_npref: 0.7197
[      75 points] regret_avg: 6.2491 | regret_pref: 5.0000 | reward_optimal: 7.0222 | reward_pref: 0.7731 | reward_npref: 0.0000
[      80 points] regret_avg: 6.6128 | regret_pref: 6.0000 | reward_optimal: 7.4169 | reward_pref: 0.8040 | reward_npref: 0.3947
[      85 points] regret_avg: 6.8144 | regret_pref: 6.0000 | reward_optimal: 7.7274 | reward_pref: 0.9130 | reward_npref: 0.2665
[      90 points] regret_avg: 7.0640 | regret_pref: 7.0000 | reward_optimal: 8.1551 | reward_pref: 1.0912 | reward_npref: 0.4704
[      95 points] regret_avg: 7.3766 | regret_pref: 7.0000 | reward_optimal: 8.8742 | reward_pref: 1.4977 | reward_npref: 0.8428
[     100 points] regret_avg: 7.9119 | regret_pref: 8.0000 | reward_optimal: 9.7511 | reward_pref: 1.8392 | reward_npref: 1.2252
[     105 points] regret_avg: 8.4339 | regret_pref: 8.0000 | reward_optimal: 10.2667 | reward_pref: 1.8328 | reward_npref: 1.1100
[     110 points] regret_avg: 8.6751 | regret_pref: 8.0000 | reward_optimal: 10.6057 | reward_pref: 1.9306 | reward_npref: 0.4192
[     115 points] regret_avg: 9.1249 | regret_pref: 9.0000 | reward_optimal: 10.9192 | reward_pref: 1.7943 | reward_npref: 0.4314
[     120 points] regret_avg: 9.6359 | regret_pref: 9.0000 | reward_optimal: 11.2177 | reward_pref: 1.5819 | reward_npref: 0.0527
[     125 points] regret_avg: 10.3627 | regret_pref: 9.0000 | reward_optimal: 11.6508 | reward_pref: 1.2881 | reward_npref: -0.5780
[     130 points] regret_avg: 11.1640 | regret_pref: 9.0000 | reward_optimal: 11.8592 | reward_pref: 0.6952 | reward_npref: -1.5991
[     135 points] regret_avg: 11.1640 | regret_pref: 9.0000 | reward_optimal: 12.2007 | reward_pref: 1.0367 | reward_npref: -1.6017
[     140 points] regret_avg: 11.4415 | regret_pref: 9.0000 | reward_optimal: 12.4792 | reward_pref: 1.0377 | reward_npref: -1.6613
[     145 points] regret_avg: 11.4985 | regret_pref: 9.0000 | reward_optimal: 12.9855 | reward_pref: 1.4871 | reward_npref: -1.4449
[     150 points] regret_avg: 12.0694 | regret_pref: 10.0000 | reward_optimal: 13.1502 | reward_pref: 1.0808 | reward_npref: -1.6961
[     155 points] regret_avg: 12.4182 | regret_pref: 11.0000 | reward_optimal: 13.6979 | reward_pref: 1.2797 | reward_npref: -1.4544
