[       5 points] regret_avg: 0.6793 | regret_pref: 0.0000 | reward_optimal: 0.3516 | reward_pref: -0.3277 | reward_npref: -0.4829
[      10 points] regret_avg: 1.4882 | regret_pref: 0.0000 | reward_optimal: 0.5012 | reward_pref: -0.9870 | reward_npref: -1.2685
[      15 points] regret_avg: 1.5671 | regret_pref: 0.0000 | reward_optimal: 0.9867 | reward_pref: -0.5804 | reward_npref: -1.0354
[      20 points] regret_avg: 1.9313 | regret_pref: 0.0000 | reward_optimal: 1.7639 | reward_pref: -0.1674 | reward_npref: -0.7277
[      25 points] regret_avg: 2.0968 | regret_pref: 0.0000 | reward_optimal: 2.0475 | reward_pref: -0.0494 | reward_npref: -0.8562
[      30 points] regret_avg: 2.4043 | regret_pref: 0.0000 | reward_optimal: 2.3908 | reward_pref: -0.0135 | reward_npref: -1.0020
[      35 points] regret_avg: 2.8459 | regret_pref: 0.0000 | reward_optimal: 2.8052 | reward_pref: -0.0407 | reward_npref: -1.0541
[      40 points] regret_avg: 3.0097 | regret_pref: 0.0000 | reward_optimal: 3.1470 | reward_pref: 0.1373 | reward_npref: -0.8965
[      45 points] regret_avg: 3.2720 | regret_pref: 0.0000 | reward_optimal: 3.6412 | reward_pref: 0.3691 | reward_npref: -0.9624
[      50 points] regret_avg: 3.6604 | regret_pref: 0.0000 | reward_optimal: 4.1510 | reward_pref: 0.4906 | reward_npref: -0.8676
[      55 points] regret_avg: 3.9172 | regret_pref: 1.0000 | reward_optimal: 4.4551 | reward_pref: 0.5379 | reward_npref: -0.5635
[      60 points] regret_avg: 4.2609 | regret_pref: 2.0000 | reward_optimal: 4.8843 | reward_pref: 0.6234 | reward_npref: -0.1343
[      65 points] regret_avg: 5.0170 | regret_pref: 2.0000 | reward_optimal: 6.2525 | reward_pref: 1.2355 | reward_npref: 0.3144
[      70 points] regret_avg: 5.2585 | regret_pref: 2.0000 | reward_optimal: 6.7434 | reward_pref: 1.4849 | reward_npref: 0.5219
[      75 points] regret_avg: 6.0513 | regret_pref: 2.0000 | reward_optimal: 7.0222 | reward_pref: 0.9709 | reward_npref: -0.1978
[      80 points] regret_avg: 6.0513 | regret_pref: 2.0000 | reward_optimal: 7.4169 | reward_pref: 1.3656 | reward_npref: -0.1669
[      85 points] regret_avg: 6.2528 | regret_pref: 2.0000 | reward_optimal: 7.7274 | reward_pref: 1.4746 | reward_npref: -0.2951
[      90 points] regret_avg: 6.5024 | regret_pref: 3.0000 | reward_optimal: 8.1551 | reward_pref: 1.6527 | reward_npref: -0.0912
[      95 points] regret_avg: 6.8150 | regret_pref: 3.0000 | reward_optimal: 8.8742 | reward_pref: 2.0592 | reward_npref: 0.2813
[     100 points] regret_avg: 7.3504 | regret_pref: 4.0000 | reward_optimal: 9.7511 | reward_pref: 2.4007 | reward_npref: 0.6637
[     105 points] regret_avg: 7.8724 | regret_pref: 4.0000 | reward_optimal: 10.2667 | reward_pref: 2.3943 | reward_npref: 0.5484
[     110 points] regret_avg: 8.1135 | regret_pref: 4.0000 | reward_optimal: 10.6057 | reward_pref: 2.4922 | reward_npref: -0.1423
[     115 points] regret_avg: 8.4149 | regret_pref: 4.0000 | reward_optimal: 10.9192 | reward_pref: 2.5043 | reward_npref: -0.2786
[     120 points] regret_avg: 8.9258 | regret_pref: 4.0000 | reward_optimal: 11.2177 | reward_pref: 2.2919 | reward_npref: -0.6573
[     125 points] regret_avg: 9.6526 | regret_pref: 4.0000 | reward_optimal: 11.6508 | reward_pref: 1.9982 | reward_npref: -1.2880
[     130 points] regret_avg: 10.4540 | regret_pref: 4.0000 | reward_optimal: 11.8592 | reward_pref: 1.4052 | reward_npref: -2.3092
[     135 points] regret_avg: 10.4540 | regret_pref: 4.0000 | reward_optimal: 12.2007 | reward_pref: 1.7467 | reward_npref: -2.3118
[     140 points] regret_avg: 10.7921 | regret_pref: 5.0000 | reward_optimal: 12.4792 | reward_pref: 1.6872 | reward_npref: -2.3107
[     145 points] regret_avg: 10.8490 | regret_pref: 5.0000 | reward_optimal: 12.9855 | reward_pref: 2.1365 | reward_npref: -2.0943
[     150 points] regret_avg: 11.4199 | regret_pref: 6.0000 | reward_optimal: 13.1502 | reward_pref: 1.7302 | reward_npref: -2.3455
[     155 points] regret_avg: 11.7260 | regret_pref: 6.0000 | reward_optimal: 13.6979 | reward_pref: 1.9719 | reward_npref: -2.1466
