[       5 points] regret_avg: 0.3246 | regret_pref: 1.0000 | reward_optimal: 0.4104 | reward_pref: 0.0859 | reward_npref: 0.2117
[      10 points] regret_avg: 0.5670 | regret_pref: 2.0000 | reward_optimal: 0.8042 | reward_pref: 0.2372 | reward_npref: 0.3889
[      15 points] regret_avg: 0.6176 | regret_pref: 3.0000 | reward_optimal: 1.2671 | reward_pref: 0.6494 | reward_npref: 0.8495
[      20 points] regret_avg: 0.9499 | regret_pref: 3.0000 | reward_optimal: 1.6434 | reward_pref: 0.6935 | reward_npref: 0.8118
[      25 points] regret_avg: 1.2993 | regret_pref: 4.0000 | reward_optimal: 2.0600 | reward_pref: 0.7607 | reward_npref: 1.2284
[      30 points] regret_avg: 1.5764 | regret_pref: 4.0000 | reward_optimal: 2.3636 | reward_pref: 0.7872 | reward_npref: 0.8304
[      35 points] regret_avg: 1.9269 | regret_pref: 4.0000 | reward_optimal: 2.7008 | reward_pref: 0.7738 | reward_npref: 0.8086
[      40 points] regret_avg: 2.0187 | regret_pref: 4.0000 | reward_optimal: 3.1123 | reward_pref: 1.0935 | reward_npref: 1.1061
[      45 points] regret_avg: 2.2300 | regret_pref: 4.0000 | reward_optimal: 3.8527 | reward_pref: 1.6227 | reward_npref: 1.3895
[      50 points] regret_avg: 2.6930 | regret_pref: 4.0000 | reward_optimal: 4.3077 | reward_pref: 1.6147 | reward_npref: 1.3394
[      55 points] regret_avg: 3.1486 | regret_pref: 4.0000 | reward_optimal: 4.7757 | reward_pref: 1.6270 | reward_npref: 1.2747
[      60 points] regret_avg: 3.9530 | regret_pref: 4.0000 | reward_optimal: 5.2587 | reward_pref: 1.3057 | reward_npref: 0.9229
[      65 points] regret_avg: 4.3337 | regret_pref: 4.0000 | reward_optimal: 5.7191 | reward_pref: 1.3854 | reward_npref: 0.5106
[      70 points] regret_avg: 4.7769 | regret_pref: 4.0000 | reward_optimal: 6.0082 | reward_pref: 1.2313 | reward_npref: 0.1963
[      75 points] regret_avg: 5.0031 | regret_pref: 5.0000 | reward_optimal: 6.4698 | reward_pref: 1.4667 | reward_npref: 0.6578
[      80 points] regret_avg: 5.3079 | regret_pref: 5.0000 | reward_optimal: 6.7027 | reward_pref: 1.3948 | reward_npref: 0.3566
[      85 points] regret_avg: 5.5507 | regret_pref: 5.0000 | reward_optimal: 7.1284 | reward_pref: 1.5778 | reward_npref: 0.0660
[      90 points] regret_avg: 5.7790 | regret_pref: 5.0000 | reward_optimal: 7.5537 | reward_pref: 1.7747 | reward_npref: 0.2423
[      95 points] regret_avg: 5.7790 | regret_pref: 5.0000 | reward_optimal: 8.3615 | reward_pref: 2.5826 | reward_npref: 0.6496
[     100 points] regret_avg: 5.9914 | regret_pref: 6.0000 | reward_optimal: 8.7234 | reward_pref: 2.7320 | reward_npref: 0.8711
[     105 points] regret_avg: 6.4932 | regret_pref: 6.0000 | reward_optimal: 9.1597 | reward_pref: 2.6665 | reward_npref: 0.7088
[     110 points] regret_avg: 6.7418 | regret_pref: 7.0000 | reward_optimal: 9.3962 | reward_pref: 2.6544 | reward_npref: 0.7136
[     115 points] regret_avg: 7.0197 | regret_pref: 7.0000 | reward_optimal: 9.6714 | reward_pref: 2.6517 | reward_npref: 0.1666
[     120 points] regret_avg: 7.3460 | regret_pref: 8.0000 | reward_optimal: 10.0175 | reward_pref: 2.6715 | reward_npref: 0.3385
[     125 points] regret_avg: 8.1887 | regret_pref: 8.0000 | reward_optimal: 10.3448 | reward_pref: 2.1561 | reward_npref: -0.3859
[     130 points] regret_avg: 8.7021 | regret_pref: 9.0000 | reward_optimal: 10.6791 | reward_pref: 1.9770 | reward_npref: -0.3167
