[       5 points] regret_avg: 0.3354 | regret_pref: 0.0000 | reward_optimal: 0.4739 | reward_pref: 0.1385 | reward_npref: -0.0249
[      10 points] regret_avg: 0.7904 | regret_pref: 1.0000 | reward_optimal: 1.0163 | reward_pref: 0.2259 | reward_npref: 0.0693
[      15 points] regret_avg: 0.9546 | regret_pref: 1.0000 | reward_optimal: 1.4531 | reward_pref: 0.4986 | reward_npref: 0.2652
[      20 points] regret_avg: 1.1858 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.7818 | reward_npref: 0.5734
[      25 points] regret_avg: 1.6490 | regret_pref: 3.0000 | reward_optimal: 2.4744 | reward_pref: 0.8254 | reward_npref: 0.7936
[      30 points] regret_avg: 1.9290 | regret_pref: 3.0000 | reward_optimal: 2.8051 | reward_pref: 0.8761 | reward_npref: 0.8096
[      35 points] regret_avg: 1.9290 | regret_pref: 3.0000 | reward_optimal: 3.6671 | reward_pref: 1.7381 | reward_npref: 1.2790
[      40 points] regret_avg: 2.3414 | regret_pref: 4.0000 | reward_optimal: 3.8904 | reward_pref: 1.5489 | reward_npref: 1.1893
[      45 points] regret_avg: 2.6405 | regret_pref: 5.0000 | reward_optimal: 4.3464 | reward_pref: 1.7059 | reward_npref: 1.4308
[      50 points] regret_avg: 3.0250 | regret_pref: 5.0000 | reward_optimal: 4.6528 | reward_pref: 1.6277 | reward_npref: 1.1856
[      55 points] regret_avg: 3.3811 | regret_pref: 5.0000 | reward_optimal: 5.0046 | reward_pref: 1.6234 | reward_npref: 1.0295
[      60 points] regret_avg: 3.6694 | regret_pref: 6.0000 | reward_optimal: 5.4138 | reward_pref: 1.7444 | reward_npref: 1.1904
[      65 points] regret_avg: 4.1009 | regret_pref: 6.0000 | reward_optimal: 5.7441 | reward_pref: 1.6431 | reward_npref: 1.0152
[      70 points] regret_avg: 4.3404 | regret_pref: 6.0000 | reward_optimal: 6.2417 | reward_pref: 1.9014 | reward_npref: 1.1979
[      75 points] regret_avg: 4.7980 | regret_pref: 7.0000 | reward_optimal: 6.5908 | reward_pref: 1.7928 | reward_npref: 1.1054
[      80 points] regret_avg: 5.1462 | regret_pref: 8.0000 | reward_optimal: 6.9969 | reward_pref: 1.8507 | reward_npref: 1.1935
[      85 points] regret_avg: 5.2806 | regret_pref: 8.0000 | reward_optimal: 7.5802 | reward_pref: 2.2996 | reward_npref: 1.4042
[      90 points] regret_avg: 5.4697 | regret_pref: 8.0000 | reward_optimal: 7.9440 | reward_pref: 2.4743 | reward_npref: 1.5519
[      95 points] regret_avg: 5.6924 | regret_pref: 8.0000 | reward_optimal: 8.8782 | reward_pref: 3.1858 | reward_npref: 1.8233
[     100 points] regret_avg: 6.1269 | regret_pref: 8.0000 | reward_optimal: 9.1345 | reward_pref: 3.0076 | reward_npref: 1.4052
[     105 points] regret_avg: 6.4888 | regret_pref: 9.0000 | reward_optimal: 9.4623 | reward_pref: 2.9735 | reward_npref: 1.4487
[     110 points] regret_avg: 6.6926 | regret_pref: 9.0000 | reward_optimal: 10.3376 | reward_pref: 3.6449 | reward_npref: 1.8790
[     115 points] regret_avg: 7.0799 | regret_pref: 9.0000 | reward_optimal: 10.8127 | reward_pref: 3.7328 | reward_npref: 1.9102
[     120 points] regret_avg: 7.3267 | regret_pref: 9.0000 | reward_optimal: 11.8434 | reward_pref: 4.5167 | reward_npref: 2.5725
[     125 points] regret_avg: 7.8368 | regret_pref: 9.0000 | reward_optimal: 12.2133 | reward_pref: 4.3765 | reward_npref: 2.2950
[     130 points] regret_avg: 8.2320 | regret_pref: 9.0000 | reward_optimal: 13.3239 | reward_pref: 5.0919 | reward_npref: 2.8831
[     135 points] regret_avg: 8.2320 | regret_pref: 9.0000 | reward_optimal: 14.3702 | reward_pref: 6.1382 | reward_npref: 3.1857
[     140 points] regret_avg: 8.3449 | regret_pref: 9.0000 | reward_optimal: 14.7645 | reward_pref: 6.4197 | reward_npref: 3.3519
[     145 points] regret_avg: 8.5701 | regret_pref: 9.0000 | reward_optimal: 15.1967 | reward_pref: 6.6265 | reward_npref: 3.2972
[     150 points] regret_avg: 8.8313 | regret_pref: 9.0000 | reward_optimal: 15.6044 | reward_pref: 6.7730 | reward_npref: 3.0470
[     155 points] regret_avg: 9.4206 | regret_pref: 9.0000 | reward_optimal: 15.9966 | reward_pref: 6.5760 | reward_npref: 2.8128
[     160 points] regret_avg: 9.4206 | regret_pref: 9.0000 | reward_optimal: 16.3477 | reward_pref: 6.9271 | reward_npref: 2.3486
[     165 points] regret_avg: 9.9746 | regret_pref: 10.0000 | reward_optimal: 17.1267 | reward_pref: 7.1522 | reward_npref: 2.6009
[     170 points] regret_avg: 10.4343 | regret_pref: 10.0000 | reward_optimal: 17.2713 | reward_pref: 6.8370 | reward_npref: 2.0785
[     175 points] regret_avg: 10.4343 | regret_pref: 10.0000 | reward_optimal: 18.0597 | reward_pref: 7.6254 | reward_npref: 2.4252
[     180 points] regret_avg: 10.6908 | regret_pref: 11.0000 | reward_optimal: 18.4735 | reward_pref: 7.7827 | reward_npref: 2.5896
[     185 points] regret_avg: 11.0291 | regret_pref: 12.0000 | reward_optimal: 18.6511 | reward_pref: 7.6221 | reward_npref: 2.7673
[     190 points] regret_avg: 11.2787 | regret_pref: 12.0000 | reward_optimal: 19.2650 | reward_pref: 7.9863 | reward_npref: 3.0332
[     195 points] regret_avg: 11.5877 | regret_pref: 12.0000 | reward_optimal: 19.7643 | reward_pref: 8.1766 | reward_npref: 3.2167
[     200 points] regret_avg: 11.7678 | regret_pref: 12.0000 | reward_optimal: 20.1427 | reward_pref: 8.3749 | reward_npref: 3.3450
[     205 points] regret_avg: 11.8317 | regret_pref: 12.0000 | reward_optimal: 21.2060 | reward_pref: 9.3743 | reward_npref: 4.0287
[     210 points] regret_avg: 11.8317 | regret_pref: 12.0000 | reward_optimal: 21.5318 | reward_pref: 9.7001 | reward_npref: 3.6203
[     215 points] regret_avg: 12.2938 | regret_pref: 12.0000 | reward_optimal: 23.0500 | reward_pref: 10.7562 | reward_npref: 3.9365
[     220 points] regret_avg: 12.5174 | regret_pref: 13.0000 | reward_optimal: 23.2978 | reward_pref: 10.7804 | reward_npref: 3.9787
[     225 points] regret_avg: 12.5174 | regret_pref: 13.0000 | reward_optimal: 24.0895 | reward_pref: 11.5721 | reward_npref: 4.4510
[     230 points] regret_avg: 13.1114 | regret_pref: 13.0000 | reward_optimal: 24.3623 | reward_pref: 11.2508 | reward_npref: 4.0397
[     235 points] regret_avg: 13.3062 | regret_pref: 14.0000 | reward_optimal: 24.8256 | reward_pref: 11.5194 | reward_npref: 4.3509
