[       5 points] regret_avg: 0.4661 | regret_pref: 1.0000 | reward_optimal: 1.9510 | reward_pref: 1.4850 | reward_npref: 1.6008
[      10 points] regret_avg: 1.0203 | regret_pref: 1.0000 | reward_optimal: 2.6276 | reward_pref: 1.6073 | reward_npref: -0.3560
[      15 points] regret_avg: 2.6801 | regret_pref: 1.0000 | reward_optimal: 11.5854 | reward_pref: 8.9052 | reward_npref: 3.1113
[      20 points] regret_avg: 3.4424 | regret_pref: 1.0000 | reward_optimal: 12.7807 | reward_pref: 9.3382 | reward_npref: 3.4414
[      25 points] regret_avg: 4.6441 | regret_pref: 2.0000 | reward_optimal: 13.1743 | reward_pref: 8.5302 | reward_npref: 3.5481
[      30 points] regret_avg: 9.0443 | regret_pref: 2.0000 | reward_optimal: 13.1808 | reward_pref: 4.1365 | reward_npref: -2.7959
[      35 points] regret_avg: 11.4418 | regret_pref: 2.0000 | reward_optimal: 13.4757 | reward_pref: 2.0339 | reward_npref: -6.2842
[      40 points] regret_avg: 17.4077 | regret_pref: 3.0000 | reward_optimal: 20.7261 | reward_pref: 3.3184 | reward_npref: 0.9662
[      45 points] regret_avg: 17.4077 | regret_pref: 3.0000 | reward_optimal: 21.5504 | reward_pref: 4.1427 | reward_npref: 0.6396
[      50 points] regret_avg: 17.4077 | regret_pref: 3.0000 | reward_optimal: 21.8370 | reward_pref: 4.4292 | reward_npref: 0.5677
[      55 points] regret_avg: 19.3938 | regret_pref: 4.0000 | reward_optimal: 22.6100 | reward_pref: 3.2162 | reward_npref: -0.1559
[      60 points] regret_avg: 22.6383 | regret_pref: 5.0000 | reward_optimal: 26.8838 | reward_pref: 4.2455 | reward_npref: 2.5584
[      65 points] regret_avg: 23.2791 | regret_pref: 5.0000 | reward_optimal: 30.4176 | reward_pref: 7.1385 | reward_npref: 3.4101
[      70 points] regret_avg: 23.3957 | regret_pref: 5.0000 | reward_optimal: 30.7095 | reward_pref: 7.3138 | reward_npref: 3.5234
[      75 points] regret_avg: 23.5812 | regret_pref: 6.0000 | reward_optimal: 31.0001 | reward_pref: 7.4189 | reward_npref: 3.8141
[      80 points] regret_avg: 34.1696 | regret_pref: 7.0000 | reward_optimal: 30.5419 | reward_pref: -3.6277 | reward_npref: -6.3779
[      85 points] regret_avg: 35.0878 | regret_pref: 7.0000 | reward_optimal: 30.8459 | reward_pref: -4.2420 | reward_npref: -7.6388
[      90 points] regret_avg: 37.7973 | regret_pref: 7.0000 | reward_optimal: 30.7825 | reward_pref: -7.0148 | reward_npref: -16.4053
[      95 points] regret_avg: 40.6669 | regret_pref: 7.0000 | reward_optimal: 37.4395 | reward_pref: -3.2274 | reward_npref: -13.4277
[     100 points] regret_avg: 40.6669 | regret_pref: 7.0000 | reward_optimal: 36.9802 | reward_pref: -3.6867 | reward_npref: -19.6104
[     105 points] regret_avg: 45.9234 | regret_pref: 7.0000 | reward_optimal: 51.0630 | reward_pref: 5.1396 | reward_npref: -17.6516
[     110 points] regret_avg: 48.7774 | regret_pref: 7.0000 | reward_optimal: 55.8473 | reward_pref: 7.0699 | reward_npref: -16.5856
[     115 points] regret_avg: 48.7774 | regret_pref: 7.0000 | reward_optimal: 68.7766 | reward_pref: 19.9992 | reward_npref: -13.9778
[     120 points] regret_avg: 49.3845 | regret_pref: 7.0000 | reward_optimal: 68.9829 | reward_pref: 19.5984 | reward_npref: -14.4590
[     125 points] regret_avg: 52.3071 | regret_pref: 8.0000 | reward_optimal: 72.5860 | reward_pref: 20.2789 | reward_npref: -11.7400
[     130 points] regret_avg: 59.4972 | regret_pref: 9.0000 | reward_optimal: 82.3742 | reward_pref: 22.8770 | reward_npref: -1.9519
[     135 points] regret_avg: 63.6121 | regret_pref: 10.0000 | reward_optimal: 82.8059 | reward_pref: 19.1938 | reward_npref: -3.4865
[     140 points] regret_avg: 63.6121 | regret_pref: 10.0000 | reward_optimal: 84.6825 | reward_pref: 21.0704 | reward_npref: -2.4045
[     145 points] regret_avg: 70.4386 | regret_pref: 10.0000 | reward_optimal: 84.4927 | reward_pref: 14.0542 | reward_npref: -10.2143
[     150 points] regret_avg: 77.2860 | regret_pref: 10.0000 | reward_optimal: 83.8948 | reward_pref: 6.6089 | reward_npref: -23.2934
[     155 points] regret_avg: 80.8134 | regret_pref: 10.0000 | reward_optimal: 98.0527 | reward_pref: 17.2393 | reward_npref: -21.3612
[     160 points] regret_avg: 83.4326 | regret_pref: 10.0000 | reward_optimal: 98.3239 | reward_pref: 14.8914 | reward_npref: -27.0560
[     165 points] regret_avg: 85.7710 | regret_pref: 11.0000 | reward_optimal: 102.2862 | reward_pref: 16.5153 | reward_npref: -24.9845
[     170 points] regret_avg: 86.4048 | regret_pref: 12.0000 | reward_optimal: 103.3826 | reward_pref: 16.9779 | reward_npref: -24.2505
[     175 points] regret_avg: 88.5495 | regret_pref: 12.0000 | reward_optimal: 103.6956 | reward_pref: 15.1461 | reward_npref: -26.3996
[     180 points] regret_avg: 90.6228 | regret_pref: 13.0000 | reward_optimal: 104.0926 | reward_pref: 13.4698 | reward_npref: -27.0262
[     185 points] regret_avg: 91.5630 | regret_pref: 14.0000 | reward_optimal: 105.5762 | reward_pref: 14.0132 | reward_npref: -26.3645
[     190 points] regret_avg: 92.4303 | regret_pref: 14.0000 | reward_optimal: 106.2628 | reward_pref: 13.8326 | reward_npref: -27.4879
[     195 points] regret_avg: 93.2809 | regret_pref: 14.0000 | reward_optimal: 106.9636 | reward_pref: 13.6826 | reward_npref: -28.3436
[     200 points] regret_avg: 97.7063 | regret_pref: 14.0000 | reward_optimal: 114.1969 | reward_pref: 16.4906 | reward_npref: -25.9629
[     205 points] regret_avg: 99.3200 | regret_pref: 14.0000 | reward_optimal: 114.8429 | reward_pref: 15.5229 | reward_npref: -27.0955
[     210 points] regret_avg: 100.0058 | regret_pref: 15.0000 | reward_optimal: 115.3777 | reward_pref: 15.3719 | reward_npref: -27.1833
[     215 points] regret_avg: 103.5983 | regret_pref: 15.0000 | reward_optimal: 125.0790 | reward_pref: 21.4807 | reward_npref: -25.8335
[     220 points] regret_avg: 103.7181 | regret_pref: 15.0000 | reward_optimal: 127.1136 | reward_pref: 23.3954 | reward_npref: -24.8383
[     225 points] regret_avg: 103.7181 | regret_pref: 15.0000 | reward_optimal: 128.7521 | reward_pref: 25.0339 | reward_npref: -23.9729
[     230 points] regret_avg: 106.3041 | regret_pref: 15.0000 | reward_optimal: 142.5954 | reward_pref: 36.2913 | reward_npref: -16.1579
[     235 points] regret_avg: 107.5314 | regret_pref: 15.0000 | reward_optimal: 147.5791 | reward_pref: 40.0477 | reward_npref: -15.3386
[     240 points] regret_avg: 109.0306 | regret_pref: 16.0000 | reward_optimal: 147.8612 | reward_pref: 38.8306 | reward_npref: -15.0566
[     245 points] regret_avg: 111.6560 | regret_pref: 16.0000 | reward_optimal: 151.8191 | reward_pref: 40.1631 | reward_npref: -14.1440
[     250 points] regret_avg: 113.6193 | regret_pref: 17.0000 | reward_optimal: 151.9644 | reward_pref: 38.3451 | reward_npref: -14.6486
[     255 points] regret_avg: 115.0140 | regret_pref: 18.0000 | reward_optimal: 154.5009 | reward_pref: 39.4870 | reward_npref: -12.1120
[     260 points] regret_avg: 118.4981 | regret_pref: 18.0000 | reward_optimal: 154.3025 | reward_pref: 35.8045 | reward_npref: -19.6452
[     265 points] regret_avg: 126.2204 | regret_pref: 19.0000 | reward_optimal: 154.4903 | reward_pref: 28.2698 | reward_npref: -23.6240
[     270 points] regret_avg: 128.7982 | regret_pref: 19.0000 | reward_optimal: 154.9830 | reward_pref: 26.1848 | reward_npref: -27.9671
[     275 points] regret_avg: 132.0454 | regret_pref: 20.0000 | reward_optimal: 155.2259 | reward_pref: 23.1806 | reward_npref: -28.4645
[     280 points] regret_avg: 132.0454 | regret_pref: 20.0000 | reward_optimal: 155.2429 | reward_pref: 23.1976 | reward_npref: -34.2463
[     285 points] regret_avg: 134.0268 | regret_pref: 20.0000 | reward_optimal: 163.2785 | reward_pref: 29.2517 | reward_npref: -29.6691
[     290 points] regret_avg: 140.3913 | regret_pref: 20.0000 | reward_optimal: 162.9200 | reward_pref: 22.5287 | reward_npref: -38.9528
[     295 points] regret_avg: 144.2350 | regret_pref: 20.0000 | reward_optimal: 162.5237 | reward_pref: 18.2887 | reward_npref: -51.9238
[     300 points] regret_avg: 144.9030 | regret_pref: 20.0000 | reward_optimal: 163.1758 | reward_pref: 18.2729 | reward_npref: -52.8875
[     305 points] regret_avg: 145.5592 | regret_pref: 20.0000 | reward_optimal: 168.5095 | reward_pref: 22.9503 | reward_npref: -51.6860
[     310 points] regret_avg: 145.5592 | regret_pref: 20.0000 | reward_optimal: 168.7348 | reward_pref: 23.1756 | reward_npref: -52.1476
[     315 points] regret_avg: 148.9207 | regret_pref: 20.0000 | reward_optimal: 182.2517 | reward_pref: 33.3310 | reward_npref: -46.1778
[     320 points] regret_avg: 150.1880 | regret_pref: 20.0000 | reward_optimal: 186.4524 | reward_pref: 36.2644 | reward_npref: -44.9055
[     325 points] regret_avg: 151.6753 | regret_pref: 20.0000 | reward_optimal: 186.7655 | reward_pref: 35.0902 | reward_npref: -46.3995
[     330 points] regret_avg: 152.1069 | regret_pref: 20.0000 | reward_optimal: 190.3476 | reward_pref: 38.2407 | reward_npref: -45.2154
[     335 points] regret_avg: 153.0790 | regret_pref: 21.0000 | reward_optimal: 191.8018 | reward_pref: 38.7228 | reward_npref: -44.1845
[     340 points] regret_avg: 154.5065 | regret_pref: 22.0000 | reward_optimal: 192.6878 | reward_pref: 38.1813 | reward_npref: -44.3283
[     345 points] regret_avg: 157.0839 | regret_pref: 22.0000 | reward_optimal: 192.9367 | reward_pref: 35.8528 | reward_npref: -48.7048
[     350 points] regret_avg: 158.0366 | regret_pref: 22.0000 | reward_optimal: 193.0933 | reward_pref: 35.0566 | reward_npref: -56.8134
[     355 points] regret_avg: 163.3623 | regret_pref: 22.0000 | reward_optimal: 202.6962 | reward_pref: 39.3340 | reward_npref: -54.2583
[     360 points] regret_avg: 163.7430 | regret_pref: 23.0000 | reward_optimal: 205.8468 | reward_pref: 42.1037 | reward_npref: -51.2984
[     365 points] regret_avg: 166.7827 | regret_pref: 23.0000 | reward_optimal: 212.0885 | reward_pref: 45.3058 | reward_npref: -50.0458
[     370 points] regret_avg: 168.3757 | regret_pref: 23.0000 | reward_optimal: 212.8281 | reward_pref: 44.4524 | reward_npref: -53.1116
[     375 points] regret_avg: 171.2066 | regret_pref: 24.0000 | reward_optimal: 216.4081 | reward_pref: 45.2015 | reward_npref: -50.1890
[     380 points] regret_avg: 172.2261 | regret_pref: 25.0000 | reward_optimal: 216.8861 | reward_pref: 44.6600 | reward_npref: -50.5673
[     385 points] regret_avg: 172.9636 | regret_pref: 25.0000 | reward_optimal: 222.8528 | reward_pref: 49.8892 | reward_npref: -47.5372
[     390 points] regret_avg: 182.4686 | regret_pref: 25.0000 | reward_optimal: 235.7109 | reward_pref: 53.2424 | reward_npref: -44.9360
[     395 points] regret_avg: 186.1697 | regret_pref: 26.0000 | reward_optimal: 235.9477 | reward_pref: 49.7779 | reward_npref: -47.8069
[     400 points] regret_avg: 187.1246 | regret_pref: 27.0000 | reward_optimal: 236.8654 | reward_pref: 49.7408 | reward_npref: -47.6498
[     405 points] regret_avg: 189.6969 | regret_pref: 27.0000 | reward_optimal: 250.6548 | reward_pref: 60.9579 | reward_npref: -44.0838
[     410 points] regret_avg: 197.2785 | regret_pref: 27.0000 | reward_optimal: 265.8749 | reward_pref: 68.5964 | reward_npref: -38.3328
[     415 points] regret_avg: 198.1322 | regret_pref: 27.0000 | reward_optimal: 266.1337 | reward_pref: 68.0015 | reward_npref: -41.6068
[     420 points] regret_avg: 199.4693 | regret_pref: 28.0000 | reward_optimal: 266.9419 | reward_pref: 67.4726 | reward_npref: -41.6473
[     425 points] regret_avg: 200.8776 | regret_pref: 28.0000 | reward_optimal: 267.2100 | reward_pref: 66.3325 | reward_npref: -48.0503
[     430 points] regret_avg: 200.8776 | regret_pref: 28.0000 | reward_optimal: 273.6564 | reward_pref: 72.7788 | reward_npref: -45.5089
[     435 points] regret_avg: 208.6099 | regret_pref: 28.0000 | reward_optimal: 284.1372 | reward_pref: 75.5273 | reward_npref: -44.3087
[     440 points] regret_avg: 211.3594 | regret_pref: 29.0000 | reward_optimal: 293.0634 | reward_pref: 81.7039 | reward_npref: -35.3825
[     445 points] regret_avg: 216.3998 | regret_pref: 29.0000 | reward_optimal: 306.5788 | reward_pref: 90.1790 | reward_npref: -29.4167
[     450 points] regret_avg: 227.9946 | regret_pref: 30.0000 | reward_optimal: 306.3429 | reward_pref: 78.3483 | reward_npref: -35.6767
[     455 points] regret_avg: 228.6721 | regret_pref: 30.0000 | reward_optimal: 307.0058 | reward_pref: 78.3337 | reward_npref: -35.8018
[     460 points] regret_avg: 237.2230 | regret_pref: 30.0000 | reward_optimal: 306.6062 | reward_pref: 69.3832 | reward_npref: -48.0309
[     465 points] regret_avg: 237.5291 | regret_pref: 30.0000 | reward_optimal: 307.6741 | reward_pref: 70.1450 | reward_npref: -47.6451
[     470 points] regret_avg: 242.6466 | regret_pref: 30.0000 | reward_optimal: 319.4687 | reward_pref: 76.8221 | reward_npref: -43.8579
[     475 points] regret_avg: 243.8402 | regret_pref: 31.0000 | reward_optimal: 319.7073 | reward_pref: 75.8671 | reward_npref: -44.3402
[     480 points] regret_avg: 247.0219 | regret_pref: 32.0000 | reward_optimal: 320.0702 | reward_pref: 73.0482 | reward_npref: -46.0810
[     485 points] regret_avg: 247.0219 | regret_pref: 32.0000 | reward_optimal: 335.7608 | reward_pref: 88.7389 | reward_npref: -44.9121
[     490 points] regret_avg: 251.2083 | regret_pref: 32.0000 | reward_optimal: 349.2175 | reward_pref: 98.0092 | reward_npref: -42.2626
[     495 points] regret_avg: 258.4508 | regret_pref: 33.0000 | reward_optimal: 357.9317 | reward_pref: 99.4809 | reward_npref: -36.7689
[     500 points] regret_avg: 259.7648 | regret_pref: 33.0000 | reward_optimal: 358.6730 | reward_pref: 98.9081 | reward_npref: -37.6578
[     505 points] regret_avg: 259.9079 | regret_pref: 33.0000 | reward_optimal: 361.0905 | reward_pref: 101.1825 | reward_npref: -36.0866
