[       5 points] regret_avg: 5.7616 | regret_pref: 0.0000 | reward_optimal: -0.0915 | reward_pref: -5.8531 | reward_npref: -8.1006
[      10 points] regret_avg: 15.2799 | regret_pref: 0.0000 | reward_optimal: -0.7381 | reward_pref: -16.0180 | reward_npref: -20.1222
[      15 points] regret_avg: 16.0851 | regret_pref: 0.0000 | reward_optimal: 5.8215 | reward_pref: -10.2636 | reward_npref: -18.6102
[      20 points] regret_avg: 18.7574 | regret_pref: 0.0000 | reward_optimal: 11.2842 | reward_pref: -7.4732 | reward_npref: -17.6410
[      25 points] regret_avg: 26.3364 | regret_pref: 1.0000 | reward_optimal: 20.4005 | reward_pref: -5.9359 | reward_npref: -11.8941
[      30 points] regret_avg: 33.2648 | regret_pref: 2.0000 | reward_optimal: 20.6961 | reward_pref: -12.5686 | reward_npref: -13.7515
[      35 points] regret_avg: 36.3713 | regret_pref: 2.0000 | reward_optimal: 20.8956 | reward_pref: -15.4757 | reward_npref: -17.3283
[      40 points] regret_avg: 36.5227 | regret_pref: 2.0000 | reward_optimal: 21.4197 | reward_pref: -15.1030 | reward_npref: -17.0138
[      45 points] regret_avg: 42.7788 | regret_pref: 3.0000 | reward_optimal: 21.6343 | reward_pref: -21.1446 | reward_npref: -17.7399
[      50 points] regret_avg: 46.7487 | regret_pref: 4.0000 | reward_optimal: 27.6060 | reward_pref: -19.1427 | reward_npref: -12.1353
[      55 points] regret_avg: 49.7005 | regret_pref: 5.0000 | reward_optimal: 27.0991 | reward_pref: -22.6014 | reward_npref: -12.6423
[      60 points] regret_avg: 56.9587 | regret_pref: 6.0000 | reward_optimal: 35.5883 | reward_pref: -21.3705 | reward_npref: -4.6780
[      65 points] regret_avg: 65.8778 | regret_pref: 6.0000 | reward_optimal: 51.4700 | reward_pref: -14.4078 | reward_npref: 0.3076
[      70 points] regret_avg: 74.0941 | regret_pref: 7.0000 | reward_optimal: 63.5909 | reward_pref: -10.5032 | reward_npref: 5.6852
[      75 points] regret_avg: 83.1178 | regret_pref: 7.0000 | reward_optimal: 63.1108 | reward_pref: -20.0070 | reward_npref: -7.2966
[      80 points] regret_avg: 86.5671 | regret_pref: 8.0000 | reward_optimal: 67.6920 | reward_pref: -18.8751 | reward_npref: -4.6552
[      85 points] regret_avg: 87.0977 | regret_pref: 8.0000 | reward_optimal: 67.9196 | reward_pref: -19.1780 | reward_npref: -6.2381
[      90 points] regret_avg: 87.7457 | regret_pref: 9.0000 | reward_optimal: 68.8707 | reward_pref: -18.8750 | reward_npref: -5.8416
[      95 points] regret_avg: 90.7103 | regret_pref: 9.0000 | reward_optimal: 74.9680 | reward_pref: -15.7423 | reward_npref: -3.0704
[     100 points] regret_avg: 94.8016 | regret_pref: 10.0000 | reward_optimal: 81.0931 | reward_pref: -13.7084 | reward_npref: -0.6785
[     105 points] regret_avg: 96.4468 | regret_pref: 10.0000 | reward_optimal: 81.8284 | reward_pref: -14.6184 | reward_npref: -2.3208
[     110 points] regret_avg: 97.5640 | regret_pref: 10.0000 | reward_optimal: 81.3281 | reward_pref: -16.2359 | reward_npref: -15.9664
[     115 points] regret_avg: 101.2352 | regret_pref: 10.0000 | reward_optimal: 81.1167 | reward_pref: -20.1185 | reward_npref: -27.9283
[     120 points] regret_avg: 106.4605 | regret_pref: 10.0000 | reward_optimal: 80.8900 | reward_pref: -25.5706 | reward_npref: -36.5711
[     125 points] regret_avg: 110.2889 | regret_pref: 10.0000 | reward_optimal: 81.2582 | reward_pref: -29.0307 | reward_npref: -43.1953
[     130 points] regret_avg: 118.1247 | regret_pref: 11.0000 | reward_optimal: 81.3085 | reward_pref: -36.8162 | reward_npref: -47.8260
[     135 points] regret_avg: 118.1247 | regret_pref: 11.0000 | reward_optimal: 81.9785 | reward_pref: -36.1462 | reward_npref: -48.8827
[     140 points] regret_avg: 118.4878 | regret_pref: 12.0000 | reward_optimal: 82.3362 | reward_pref: -36.1516 | reward_npref: -48.8433
[     145 points] regret_avg: 119.7697 | regret_pref: 12.0000 | reward_optimal: 82.9032 | reward_pref: -36.8664 | reward_npref: -53.5239
[     150 points] regret_avg: 120.0135 | regret_pref: 12.0000 | reward_optimal: 83.5192 | reward_pref: -36.4943 | reward_npref: -53.2445
[     155 points] regret_avg: 120.9003 | regret_pref: 13.0000 | reward_optimal: 85.2917 | reward_pref: -35.6086 | reward_npref: -51.9802
[     160 points] regret_avg: 123.7590 | regret_pref: 13.0000 | reward_optimal: 96.8246 | reward_pref: -26.9344 | reward_npref: -49.6011
[     165 points] regret_avg: 127.0599 | regret_pref: 13.0000 | reward_optimal: 96.7519 | reward_pref: -30.3080 | reward_npref: -54.4102
[     170 points] regret_avg: 127.0599 | regret_pref: 13.0000 | reward_optimal: 96.7221 | reward_pref: -30.3378 | reward_npref: -58.5743
[     175 points] regret_avg: 127.3814 | regret_pref: 14.0000 | reward_optimal: 97.2592 | reward_pref: -30.1222 | reward_npref: -58.3087
