[       5 points] regret_avg: 1.6011 | regret_pref: 1.0000 | reward_optimal: 3.0421 | reward_pref: 1.4410 | reward_npref: 2.1372
[      10 points] regret_avg: 4.2178 | regret_pref: 1.0000 | reward_optimal: 3.7944 | reward_pref: -0.4234 | reward_npref: -0.0340
[      15 points] regret_avg: 11.8404 | regret_pref: 2.0000 | reward_optimal: 3.9118 | reward_pref: -7.9286 | reward_npref: -6.9029
[      20 points] regret_avg: 12.6677 | regret_pref: 2.0000 | reward_optimal: 4.1822 | reward_pref: -8.4855 | reward_npref: -7.6818
[      25 points] regret_avg: 14.2625 | regret_pref: 3.0000 | reward_optimal: 4.6727 | reward_pref: -9.5898 | reward_npref: -7.8289
[      30 points] regret_avg: 19.0149 | regret_pref: 3.0000 | reward_optimal: 15.6542 | reward_pref: -3.3607 | reward_npref: -2.2740
[      35 points] regret_avg: 27.9752 | regret_pref: 4.0000 | reward_optimal: 15.7591 | reward_pref: -12.2161 | reward_npref: -4.9221
[      40 points] regret_avg: 28.2423 | regret_pref: 5.0000 | reward_optimal: 16.2276 | reward_pref: -12.0147 | reward_npref: -4.5061
[      45 points] regret_avg: 34.8551 | regret_pref: 5.0000 | reward_optimal: 16.0953 | reward_pref: -18.7598 | reward_npref: -15.8221
[      50 points] regret_avg: 34.8951 | regret_pref: 5.0000 | reward_optimal: 16.1325 | reward_pref: -18.7627 | reward_npref: -15.8304
[      55 points] regret_avg: 35.1396 | regret_pref: 5.0000 | reward_optimal: 18.1809 | reward_pref: -16.9587 | reward_npref: -14.1478
[      60 points] regret_avg: 35.7431 | regret_pref: 5.0000 | reward_optimal: 18.3180 | reward_pref: -17.4252 | reward_npref: -15.4512
[      65 points] regret_avg: 35.7431 | regret_pref: 5.0000 | reward_optimal: 25.8678 | reward_pref: -9.8753 | reward_npref: -11.1525
[      70 points] regret_avg: 35.7431 | regret_pref: 5.0000 | reward_optimal: 39.2715 | reward_pref: 3.5283 | reward_npref: -5.2392
[      75 points] regret_avg: 39.7911 | regret_pref: 5.0000 | reward_optimal: 39.2933 | reward_pref: -0.4977 | reward_npref: -12.0760
[      80 points] regret_avg: 45.2506 | regret_pref: 6.0000 | reward_optimal: 48.1701 | reward_pref: 2.9195 | reward_npref: -3.7491
[      85 points] regret_avg: 46.8071 | regret_pref: 6.0000 | reward_optimal: 60.6835 | reward_pref: 13.8764 | reward_npref: 5.6527
[      90 points] regret_avg: 47.2207 | regret_pref: 6.0000 | reward_optimal: 63.0247 | reward_pref: 15.8040 | reward_npref: 6.4231
[      95 points] regret_avg: 59.4420 | regret_pref: 7.0000 | reward_optimal: 62.8637 | reward_pref: 3.4217 | reward_npref: 1.0769
[     100 points] regret_avg: 69.7912 | regret_pref: 7.0000 | reward_optimal: 77.9945 | reward_pref: 8.2033 | reward_npref: 4.0088
[     105 points] regret_avg: 72.6327 | regret_pref: 7.0000 | reward_optimal: 77.6752 | reward_pref: 5.0425 | reward_npref: -6.6334
[     110 points] regret_avg: 75.7868 | regret_pref: 7.0000 | reward_optimal: 84.9997 | reward_pref: 9.2129 | reward_npref: -5.0466
[     115 points] regret_avg: 80.7119 | regret_pref: 7.0000 | reward_optimal: 96.3590 | reward_pref: 15.6470 | reward_npref: -3.3382
[     120 points] regret_avg: 84.3771 | regret_pref: 8.0000 | reward_optimal: 96.8747 | reward_pref: 12.4977 | reward_npref: -6.1146
[     125 points] regret_avg: 88.4845 | regret_pref: 9.0000 | reward_optimal: 97.1029 | reward_pref: 8.6184 | reward_npref: -8.1969
[     130 points] regret_avg: 88.4845 | regret_pref: 9.0000 | reward_optimal: 101.1558 | reward_pref: 12.6713 | reward_npref: -5.8459
[     135 points] regret_avg: 94.3900 | regret_pref: 10.0000 | reward_optimal: 101.3625 | reward_pref: 6.9725 | reward_npref: -11.1840
[     140 points] regret_avg: 97.6602 | regret_pref: 10.0000 | reward_optimal: 101.7667 | reward_pref: 4.1065 | reward_npref: -15.7164
[     145 points] regret_avg: 102.3898 | regret_pref: 11.0000 | reward_optimal: 101.4114 | reward_pref: -0.9784 | reward_npref: -19.0360
[     150 points] regret_avg: 108.5383 | regret_pref: 11.0000 | reward_optimal: 115.5449 | reward_pref: 7.0066 | reward_npref: -17.0435
[     155 points] regret_avg: 109.2943 | regret_pref: 12.0000 | reward_optimal: 116.5587 | reward_pref: 7.2644 | reward_npref: -16.5137
[     160 points] regret_avg: 109.4581 | regret_pref: 12.0000 | reward_optimal: 119.2865 | reward_pref: 9.8283 | reward_npref: -14.7585
