[       5 points] regret_avg: 0.7084 | regret_pref: 0.0000 | reward_optimal: 0.1625 | reward_pref: -0.5458 | reward_npref: -4.9685
[      10 points] regret_avg: 2.2620 | regret_pref: 0.0000 | reward_optimal: 5.2640 | reward_pref: 3.0020 | reward_npref: -2.3384
[      15 points] regret_avg: 2.5389 | regret_pref: 1.0000 | reward_optimal: 6.2586 | reward_pref: 3.7197 | reward_npref: -1.3438
[      20 points] regret_avg: 3.8664 | regret_pref: 1.0000 | reward_optimal: 6.7036 | reward_pref: 2.8371 | reward_npref: -3.0976
[      25 points] regret_avg: 8.5303 | regret_pref: 1.0000 | reward_optimal: 16.1468 | reward_pref: 7.6165 | reward_npref: -1.8934
[      30 points] regret_avg: 9.1444 | regret_pref: 1.0000 | reward_optimal: 16.5586 | reward_pref: 7.4142 | reward_npref: -3.7677
[      35 points] regret_avg: 19.1302 | regret_pref: 1.0000 | reward_optimal: 16.2726 | reward_pref: -2.8576 | reward_npref: -15.5155
[      40 points] regret_avg: 20.7143 | regret_pref: 2.0000 | reward_optimal: 16.5352 | reward_pref: -4.1791 | reward_npref: -16.7214
[      45 points] regret_avg: 24.7068 | regret_pref: 2.0000 | reward_optimal: 29.3985 | reward_pref: 4.6917 | reward_npref: -13.3722
[      50 points] regret_avg: 30.0864 | regret_pref: 2.0000 | reward_optimal: 29.5585 | reward_pref: -0.5280 | reward_npref: -20.9743
[      55 points] regret_avg: 32.4120 | regret_pref: 2.0000 | reward_optimal: 35.9056 | reward_pref: 3.4936 | reward_npref: -18.4658
[      60 points] regret_avg: 35.0620 | regret_pref: 2.0000 | reward_optimal: 36.6227 | reward_pref: 1.5608 | reward_npref: -20.5573
[      65 points] regret_avg: 35.6481 | regret_pref: 3.0000 | reward_optimal: 37.6540 | reward_pref: 2.0058 | reward_npref: -19.8874
[      70 points] regret_avg: 37.1737 | regret_pref: 3.0000 | reward_optimal: 38.0101 | reward_pref: 0.8363 | reward_npref: -21.9373
[      75 points] regret_avg: 40.8458 | regret_pref: 4.0000 | reward_optimal: 42.7110 | reward_pref: 1.8652 | reward_npref: -20.7505
[      80 points] regret_avg: 41.2308 | regret_pref: 5.0000 | reward_optimal: 43.3658 | reward_pref: 2.1349 | reward_npref: -20.2090
[      85 points] regret_avg: 41.2308 | regret_pref: 5.0000 | reward_optimal: 45.3816 | reward_pref: 4.1508 | reward_npref: -19.6075
[      90 points] regret_avg: 45.7327 | regret_pref: 5.0000 | reward_optimal: 45.8026 | reward_pref: 0.0699 | reward_npref: -24.6350
[      95 points] regret_avg: 45.7327 | regret_pref: 5.0000 | reward_optimal: 57.2259 | reward_pref: 11.4933 | reward_npref: -19.5587
[     100 points] regret_avg: 46.8136 | regret_pref: 5.0000 | reward_optimal: 61.6765 | reward_pref: 14.8629 | reward_npref: -18.0108
[     105 points] regret_avg: 50.9530 | regret_pref: 5.0000 | reward_optimal: 62.1529 | reward_pref: 11.1999 | reward_npref: -24.2219
[     110 points] regret_avg: 51.8036 | regret_pref: 5.0000 | reward_optimal: 62.4824 | reward_pref: 10.6788 | reward_npref: -24.8804
[     115 points] regret_avg: 53.1704 | regret_pref: 5.0000 | reward_optimal: 62.6385 | reward_pref: 9.4681 | reward_npref: -32.4172
[     120 points] regret_avg: 53.4490 | regret_pref: 5.0000 | reward_optimal: 63.7932 | reward_pref: 10.3442 | reward_npref: -32.1370
[     125 points] regret_avg: 56.6090 | regret_pref: 5.0000 | reward_optimal: 64.4231 | reward_pref: 7.8140 | reward_npref: -35.6369
[     130 points] regret_avg: 58.5577 | regret_pref: 5.0000 | reward_optimal: 64.3211 | reward_pref: 5.7634 | reward_npref: -45.4179
[     135 points] regret_avg: 58.5577 | regret_pref: 5.0000 | reward_optimal: 74.9619 | reward_pref: 16.4042 | reward_npref: -41.3205
[     140 points] regret_avg: 60.0055 | regret_pref: 6.0000 | reward_optimal: 78.0383 | reward_pref: 18.0328 | reward_npref: -39.5168
[     145 points] regret_avg: 64.2049 | regret_pref: 6.0000 | reward_optimal: 78.3376 | reward_pref: 14.1326 | reward_npref: -46.5505
[     150 points] regret_avg: 65.6944 | regret_pref: 6.0000 | reward_optimal: 78.3831 | reward_pref: 12.6887 | reward_npref: -50.8538
[     155 points] regret_avg: 67.0426 | regret_pref: 7.0000 | reward_optimal: 83.8890 | reward_pref: 16.8464 | reward_npref: -46.0231
[     160 points] regret_avg: 69.2708 | regret_pref: 7.0000 | reward_optimal: 92.9003 | reward_pref: 23.6295 | reward_npref: -41.4541
[     165 points] regret_avg: 72.7719 | regret_pref: 8.0000 | reward_optimal: 99.3127 | reward_pref: 26.5407 | reward_npref: -35.8280
[     170 points] regret_avg: 73.4475 | regret_pref: 9.0000 | reward_optimal: 99.6099 | reward_pref: 26.1624 | reward_npref: -36.0834
[     175 points] regret_avg: 74.6384 | regret_pref: 10.0000 | reward_optimal: 101.5210 | reward_pref: 26.8826 | reward_npref: -34.7227
[     180 points] regret_avg: 78.3604 | regret_pref: 11.0000 | reward_optimal: 101.6589 | reward_pref: 23.2984 | reward_npref: -35.7566
[     185 points] regret_avg: 87.7921 | regret_pref: 12.0000 | reward_optimal: 101.5888 | reward_pref: 13.7967 | reward_npref: -43.8874
[     190 points] regret_avg: 89.3779 | regret_pref: 12.0000 | reward_optimal: 114.3561 | reward_pref: 24.9782 | reward_npref: -35.0810
[     195 points] regret_avg: 93.0471 | regret_pref: 12.0000 | reward_optimal: 114.1183 | reward_pref: 21.0711 | reward_npref: -47.1041
[     200 points] regret_avg: 96.1601 | regret_pref: 12.0000 | reward_optimal: 114.0512 | reward_pref: 17.8911 | reward_npref: -53.6419
[     205 points] regret_avg: 97.6629 | regret_pref: 12.0000 | reward_optimal: 114.2626 | reward_pref: 16.5996 | reward_npref: -56.0884
[     210 points] regret_avg: 98.6037 | regret_pref: 12.0000 | reward_optimal: 129.3578 | reward_pref: 30.7541 | reward_npref: -49.4455
[     215 points] regret_avg: 103.0069 | regret_pref: 13.0000 | reward_optimal: 129.1794 | reward_pref: 26.1725 | reward_npref: -51.2768
[     220 points] regret_avg: 103.8697 | regret_pref: 13.0000 | reward_optimal: 129.4755 | reward_pref: 25.6058 | reward_npref: -52.0714
[     225 points] regret_avg: 106.9610 | regret_pref: 13.0000 | reward_optimal: 128.7222 | reward_pref: 21.7612 | reward_npref: -66.6819
[     230 points] regret_avg: 110.6568 | regret_pref: 14.0000 | reward_optimal: 129.0799 | reward_pref: 18.4231 | reward_npref: -69.7921
[     235 points] regret_avg: 111.1975 | regret_pref: 14.0000 | reward_optimal: 129.5129 | reward_pref: 18.3154 | reward_npref: -70.4944
[     240 points] regret_avg: 115.5240 | regret_pref: 14.0000 | reward_optimal: 129.6977 | reward_pref: 14.1738 | reward_npref: -78.3353
[     245 points] regret_avg: 115.7262 | regret_pref: 14.0000 | reward_optimal: 130.5437 | reward_pref: 14.8175 | reward_npref: -78.0253
[     250 points] regret_avg: 116.3155 | regret_pref: 14.0000 | reward_optimal: 132.9837 | reward_pref: 16.6682 | reward_npref: -77.0290
[     255 points] regret_avg: 120.0661 | regret_pref: 14.0000 | reward_optimal: 141.6496 | reward_pref: 21.5835 | reward_npref: -73.7024
[     260 points] regret_avg: 121.1476 | regret_pref: 15.0000 | reward_optimal: 142.5485 | reward_pref: 21.4009 | reward_npref: -73.5027
[     265 points] regret_avg: 123.7440 | regret_pref: 15.0000 | reward_optimal: 149.5741 | reward_pref: 25.8301 | reward_npref: -72.4388
[     270 points] regret_avg: 124.7303 | regret_pref: 16.0000 | reward_optimal: 151.1696 | reward_pref: 26.4393 | reward_npref: -71.0343
[     275 points] regret_avg: 125.5718 | regret_pref: 16.0000 | reward_optimal: 152.0820 | reward_pref: 26.5102 | reward_npref: -70.9672
[     280 points] regret_avg: 127.6121 | regret_pref: 16.0000 | reward_optimal: 151.7509 | reward_pref: 24.1388 | reward_npref: -76.8286
[     285 points] regret_avg: 129.4386 | regret_pref: 16.0000 | reward_optimal: 151.6968 | reward_pref: 22.2582 | reward_npref: -82.3358
[     290 points] regret_avg: 131.6379 | regret_pref: 16.0000 | reward_optimal: 151.8491 | reward_pref: 20.2112 | reward_npref: -85.5539
[     295 points] regret_avg: 136.5816 | regret_pref: 16.0000 | reward_optimal: 167.6851 | reward_pref: 31.1035 | reward_npref: -83.5227
[     300 points] regret_avg: 137.1541 | regret_pref: 17.0000 | reward_optimal: 169.2727 | reward_pref: 32.1187 | reward_npref: -82.1272
[     305 points] regret_avg: 138.0214 | regret_pref: 17.0000 | reward_optimal: 183.2125 | reward_pref: 45.1911 | reward_npref: -75.1120
[     310 points] regret_avg: 139.9656 | regret_pref: 17.0000 | reward_optimal: 183.3477 | reward_pref: 43.3821 | reward_npref: -81.4522
[     315 points] regret_avg: 147.6137 | regret_pref: 17.0000 | reward_optimal: 183.1679 | reward_pref: 35.5542 | reward_npref: -94.0363
[     320 points] regret_avg: 147.7160 | regret_pref: 17.0000 | reward_optimal: 183.8800 | reward_pref: 36.1640 | reward_npref: -93.7236
[     325 points] regret_avg: 148.4327 | regret_pref: 18.0000 | reward_optimal: 184.8699 | reward_pref: 36.4371 | reward_npref: -93.4411
[     330 points] regret_avg: 152.4119 | regret_pref: 18.0000 | reward_optimal: 184.9928 | reward_pref: 32.5808 | reward_npref: -97.7390
[     335 points] regret_avg: 154.4337 | regret_pref: 18.0000 | reward_optimal: 185.7659 | reward_pref: 31.3322 | reward_npref: -99.6238
[     340 points] regret_avg: 162.5911 | regret_pref: 19.0000 | reward_optimal: 195.0827 | reward_pref: 32.4916 | reward_npref: -98.1741
[     345 points] regret_avg: 162.5911 | regret_pref: 19.0000 | reward_optimal: 194.3717 | reward_pref: 31.7806 | reward_npref: -103.8463
[     350 points] regret_avg: 162.9413 | regret_pref: 20.0000 | reward_optimal: 194.9067 | reward_pref: 31.9654 | reward_npref: -103.6363
[     355 points] regret_avg: 163.6007 | regret_pref: 20.0000 | reward_optimal: 195.2176 | reward_pref: 31.6169 | reward_npref: -106.2431
[     360 points] regret_avg: 166.8220 | regret_pref: 20.0000 | reward_optimal: 195.7099 | reward_pref: 28.8879 | reward_npref: -110.2355
[     365 points] regret_avg: 174.0948 | regret_pref: 20.0000 | reward_optimal: 208.7576 | reward_pref: 34.6628 | reward_npref: -106.0541
[     370 points] regret_avg: 178.8730 | regret_pref: 20.0000 | reward_optimal: 216.5553 | reward_pref: 37.6823 | reward_npref: -104.9035
[     375 points] regret_avg: 191.3571 | regret_pref: 21.0000 | reward_optimal: 216.0811 | reward_pref: 24.7240 | reward_npref: -115.2584
[     380 points] regret_avg: 191.4528 | regret_pref: 21.0000 | reward_optimal: 217.6978 | reward_pref: 26.2450 | reward_npref: -114.7309
[     385 points] regret_avg: 192.3464 | regret_pref: 22.0000 | reward_optimal: 218.3231 | reward_pref: 25.9767 | reward_npref: -114.6753
[     390 points] regret_avg: 201.4639 | regret_pref: 22.0000 | reward_optimal: 218.2769 | reward_pref: 16.8130 | reward_npref: -124.4549
[     395 points] regret_avg: 203.1542 | regret_pref: 22.0000 | reward_optimal: 218.4809 | reward_pref: 15.3267 | reward_npref: -131.3836
[     400 points] regret_avg: 203.8925 | regret_pref: 22.0000 | reward_optimal: 219.1934 | reward_pref: 15.3009 | reward_npref: -131.7878
[     405 points] regret_avg: 204.7545 | regret_pref: 22.0000 | reward_optimal: 221.5874 | reward_pref: 16.8329 | reward_npref: -130.6727
[     410 points] regret_avg: 208.9189 | regret_pref: 22.0000 | reward_optimal: 222.1421 | reward_pref: 13.2232 | reward_npref: -135.7897
[     415 points] regret_avg: 214.4173 | regret_pref: 23.0000 | reward_optimal: 231.1067 | reward_pref: 16.6894 | reward_npref: -126.8251
[     420 points] regret_avg: 215.8771 | regret_pref: 23.0000 | reward_optimal: 231.7991 | reward_pref: 15.9220 | reward_npref: -130.7788
[     425 points] regret_avg: 220.9107 | regret_pref: 24.0000 | reward_optimal: 242.0108 | reward_pref: 21.1000 | reward_npref: -124.3496
[     430 points] regret_avg: 224.6374 | regret_pref: 24.0000 | reward_optimal: 250.6411 | reward_pref: 26.0037 | reward_npref: -120.4991
[     435 points] regret_avg: 225.7653 | regret_pref: 24.0000 | reward_optimal: 259.7334 | reward_pref: 33.9681 | reward_npref: -118.6277
[     440 points] regret_avg: 226.4220 | regret_pref: 24.0000 | reward_optimal: 263.3530 | reward_pref: 36.9311 | reward_npref: -116.0989
[     445 points] regret_avg: 227.7604 | regret_pref: 25.0000 | reward_optimal: 264.2329 | reward_pref: 36.4725 | reward_npref: -116.3979
[     450 points] regret_avg: 229.4993 | regret_pref: 25.0000 | reward_optimal: 264.8694 | reward_pref: 35.3700 | reward_npref: -117.9499
[     455 points] regret_avg: 237.6027 | regret_pref: 26.0000 | reward_optimal: 264.8439 | reward_pref: 27.2412 | reward_npref: -119.5143
[     460 points] regret_avg: 239.5939 | regret_pref: 26.0000 | reward_optimal: 265.4569 | reward_pref: 25.8630 | reward_npref: -122.4874
[     465 points] regret_avg: 246.2243 | regret_pref: 27.0000 | reward_optimal: 273.3755 | reward_pref: 27.1511 | reward_npref: -120.7466
[     470 points] regret_avg: 248.0642 | regret_pref: 28.0000 | reward_optimal: 277.2035 | reward_pref: 29.1393 | reward_npref: -118.0769
[     475 points] regret_avg: 249.2909 | regret_pref: 28.0000 | reward_optimal: 283.8572 | reward_pref: 34.5663 | reward_npref: -116.5717
[     480 points] regret_avg: 255.2817 | regret_pref: 28.0000 | reward_optimal: 299.8407 | reward_pref: 44.5590 | reward_npref: -115.5239
[     485 points] regret_avg: 256.9607 | regret_pref: 28.0000 | reward_optimal: 299.9197 | reward_pref: 42.9590 | reward_npref: -122.1699
[     490 points] regret_avg: 258.7818 | regret_pref: 28.0000 | reward_optimal: 299.9564 | reward_pref: 41.1746 | reward_npref: -132.9052
[     495 points] regret_avg: 261.6707 | regret_pref: 29.0000 | reward_optimal: 300.2278 | reward_pref: 38.5571 | reward_npref: -134.4791
[     500 points] regret_avg: 263.2170 | regret_pref: 30.0000 | reward_optimal: 302.2529 | reward_pref: 39.0359 | reward_npref: -133.3051
[     505 points] regret_avg: 263.2170 | regret_pref: 30.0000 | reward_optimal: 303.5806 | reward_pref: 40.3636 | reward_npref: -132.6098
[     510 points] regret_avg: 265.3828 | regret_pref: 30.0000 | reward_optimal: 303.9983 | reward_pref: 38.6156 | reward_npref: -135.1667
[     515 points] regret_avg: 266.7016 | regret_pref: 30.0000 | reward_optimal: 306.8164 | reward_pref: 40.1148 | reward_npref: -133.9721
[     520 points] regret_avg: 269.2998 | regret_pref: 30.0000 | reward_optimal: 320.7420 | reward_pref: 51.4422 | reward_npref: -124.3746
[     525 points] regret_avg: 273.3273 | regret_pref: 30.0000 | reward_optimal: 328.9580 | reward_pref: 55.6307 | reward_npref: -122.9254
[     530 points] regret_avg: 274.4664 | regret_pref: 30.0000 | reward_optimal: 329.9096 | reward_pref: 55.4433 | reward_npref: -123.4080
[     535 points] regret_avg: 274.6037 | regret_pref: 31.0000 | reward_optimal: 330.0535 | reward_pref: 55.4498 | reward_npref: -123.2642
[     540 points] regret_avg: 280.2505 | regret_pref: 31.0000 | reward_optimal: 329.6664 | reward_pref: 49.4159 | reward_npref: -137.1837
[     545 points] regret_avg: 283.1204 | regret_pref: 32.0000 | reward_optimal: 345.0008 | reward_pref: 61.8804 | reward_npref: -123.7628
[     550 points] regret_avg: 288.2322 | regret_pref: 32.0000 | reward_optimal: 356.7711 | reward_pref: 68.5389 | reward_npref: -122.0474
[     555 points] regret_avg: 290.0593 | regret_pref: 32.0000 | reward_optimal: 357.5131 | reward_pref: 67.4538 | reward_npref: -123.2944
[     560 points] regret_avg: 290.0593 | regret_pref: 32.0000 | reward_optimal: 357.0330 | reward_pref: 66.9738 | reward_npref: -136.8420
[     565 points] regret_avg: 290.8401 | regret_pref: 33.0000 | reward_optimal: 358.4869 | reward_pref: 67.6468 | reward_npref: -135.7191
