,timestep,rewdiff,config_name,seed
0,0.0,0.45,nsdpo_g0.9,2025
1,1.0,0.85,nsdpo_g0.9,2025
2,2.0,0.75,nsdpo_g0.9,2025
3,3.0,0.8,nsdpo_g0.9,2025
4,4.0,0.75,nsdpo_g0.9,2025
5,5.0,0.8,nsdpo_g0.9,2025
6,6.0,0.7,nsdpo_g0.9,2025
7,7.0,0.75,nsdpo_g0.9,2025
8,8.0,0.6,nsdpo_g0.9,2025
9,9.0,0.75,nsdpo_g0.9,2025
10,10.0,0.75,nsdpo_g0.9,2025
11,11.0,0.9,nsdpo_g0.9,2025
12,12.0,0.85,nsdpo_g0.9,2025
13,13.0,0.8,nsdpo_g0.9,2025
14,14.0,0.7,nsdpo_g0.9,2025
15,15.0,0.7,nsdpo_g0.9,2025
16,16.0,0.7,nsdpo_g0.9,2025
17,17.0,0.75,nsdpo_g0.9,2025
18,18.0,0.7,nsdpo_g0.9,2025
19,19.0,0.75,nsdpo_g0.9,2025
20,20.0,0.95,nsdpo_g0.9,2025
21,21.0,0.75,nsdpo_g0.9,2025
22,22.0,0.7,nsdpo_g0.9,2025
23,23.0,0.9,nsdpo_g0.9,2025
24,24.0,0.85,nsdpo_g0.9,2025
25,25.0,0.85,nsdpo_g0.9,2025
26,26.0,0.75,nsdpo_g0.9,2025
27,27.0,0.7,nsdpo_g0.9,2025
28,28.0,0.8,nsdpo_g0.9,2025
29,29.0,0.85,nsdpo_g0.9,2025
30,30.0,0.75,nsdpo_g0.9,2025
31,31.0,0.85,nsdpo_g0.9,2025
32,32.0,0.8,nsdpo_g0.9,2025
33,33.0,0.85,nsdpo_g0.9,2025
34,34.0,0.8,nsdpo_g0.9,2025
35,35.0,0.7,nsdpo_g0.9,2025
36,36.0,0.8,nsdpo_g0.9,2025
37,37.0,0.8,nsdpo_g0.9,2025
38,38.0,0.85,nsdpo_g0.9,2025
39,39.0,0.85,nsdpo_g0.9,2025
40,40.0,0.7,nsdpo_g0.9,2025
41,41.0,0.75,nsdpo_g0.9,2025
42,42.0,0.75,nsdpo_g0.9,2025
43,43.0,0.8,nsdpo_g0.9,2025
44,44.0,0.75,nsdpo_g0.9,2025
45,45.0,0.9,nsdpo_g0.9,2025
46,46.0,0.9,nsdpo_g0.9,2025
47,47.0,0.8,nsdpo_g0.9,2025
48,48.0,0.8,nsdpo_g0.9,2025
49,49.0,0.7,nsdpo_g0.9,2025
50,50.0,0.8,nsdpo_g0.9,2025
51,51.0,0.9,nsdpo_g0.9,2025
52,52.0,0.7,nsdpo_g0.9,2025
53,53.0,0.75,nsdpo_g0.9,2025
54,54.0,0.95,nsdpo_g0.9,2025
55,55.0,0.7,nsdpo_g0.9,2025
56,56.0,0.8,nsdpo_g0.9,2025
57,57.0,0.8,nsdpo_g0.9,2025
58,58.0,0.8,nsdpo_g0.9,2025
59,59.0,0.85,nsdpo_g0.9,2025
60,60.0,0.6,nsdpo_g0.9,2025
61,61.0,0.65,nsdpo_g0.9,2025
62,62.0,0.85,nsdpo_g0.9,2025
63,63.0,0.8,nsdpo_g0.9,2025
64,64.0,0.7,nsdpo_g0.9,2025
65,65.0,0.7,nsdpo_g0.9,2025
66,66.0,0.55,nsdpo_g0.9,2025
67,67.0,0.75,nsdpo_g0.9,2025
68,68.0,0.7,nsdpo_g0.9,2025
69,69.0,0.7,nsdpo_g0.9,2025
70,70.0,0.8,nsdpo_g0.9,2025
71,71.0,0.95,nsdpo_g0.9,2025
72,72.0,1.0,nsdpo_g0.9,2025
73,73.0,0.9,nsdpo_g0.9,2025
74,74.0,0.75,nsdpo_g0.9,2025
75,75.0,0.8,nsdpo_g0.9,2025
76,76.0,0.8,nsdpo_g0.9,2025
77,77.0,0.7,nsdpo_g0.9,2025
78,78.0,0.9,nsdpo_g0.9,2025
79,79.0,0.85,nsdpo_g0.9,2025
80,80.0,0.9,nsdpo_g0.9,2025
81,81.0,0.8,nsdpo_g0.9,2025
82,82.0,0.65,nsdpo_g0.9,2025
83,83.0,0.75,nsdpo_g0.9,2025
84,84.0,0.65,nsdpo_g0.9,2025
85,85.0,0.8,nsdpo_g0.9,2025
86,86.0,0.95,nsdpo_g0.9,2025
87,87.0,0.8,nsdpo_g0.9,2025
88,88.0,0.95,nsdpo_g0.9,2025
89,89.0,0.65,nsdpo_g0.9,2025
90,90.0,0.7,nsdpo_g0.9,2025
91,91.0,0.7,nsdpo_g0.9,2025
92,92.0,0.85,nsdpo_g0.9,2025
93,93.0,0.9,nsdpo_g0.9,2025
94,94.0,0.85,nsdpo_g0.9,2025
95,95.0,0.8,nsdpo_g0.9,2025
96,96.0,0.8,nsdpo_g0.9,2025
97,97.0,0.7,nsdpo_g0.9,2025
98,98.0,0.95,nsdpo_g0.9,2025
99,99.0,0.85,nsdpo_g0.9,2025
