,timestep,rewdiff,config_name,seed
0,0.0,0.45,sigmoid_g1.0,2023
1,1.0,0.85,sigmoid_g1.0,2023
2,2.0,0.75,sigmoid_g1.0,2023
3,3.0,0.8,sigmoid_g1.0,2023
4,4.0,0.75,sigmoid_g1.0,2023
5,5.0,0.8,sigmoid_g1.0,2023
6,6.0,0.7,sigmoid_g1.0,2023
7,7.0,0.75,sigmoid_g1.0,2023
8,8.0,0.6,sigmoid_g1.0,2023
9,9.0,0.75,sigmoid_g1.0,2023
10,10.0,0.75,sigmoid_g1.0,2023
11,11.0,0.9,sigmoid_g1.0,2023
12,12.0,0.85,sigmoid_g1.0,2023
13,13.0,0.8,sigmoid_g1.0,2023
14,14.0,0.7,sigmoid_g1.0,2023
15,15.0,0.7,sigmoid_g1.0,2023
16,16.0,0.7,sigmoid_g1.0,2023
17,17.0,0.75,sigmoid_g1.0,2023
18,18.0,0.7,sigmoid_g1.0,2023
19,19.0,0.75,sigmoid_g1.0,2023
20,20.0,0.95,sigmoid_g1.0,2023
21,21.0,0.75,sigmoid_g1.0,2023
22,22.0,0.7,sigmoid_g1.0,2023
23,23.0,0.9,sigmoid_g1.0,2023
24,24.0,0.85,sigmoid_g1.0,2023
25,25.0,0.85,sigmoid_g1.0,2023
26,26.0,0.75,sigmoid_g1.0,2023
27,27.0,0.7,sigmoid_g1.0,2023
28,28.0,0.8,sigmoid_g1.0,2023
29,29.0,0.85,sigmoid_g1.0,2023
30,30.0,0.75,sigmoid_g1.0,2023
31,31.0,0.85,sigmoid_g1.0,2023
32,32.0,0.8,sigmoid_g1.0,2023
33,33.0,0.85,sigmoid_g1.0,2023
34,34.0,0.8,sigmoid_g1.0,2023
35,35.0,0.7,sigmoid_g1.0,2023
36,36.0,0.8,sigmoid_g1.0,2023
37,37.0,0.8,sigmoid_g1.0,2023
38,38.0,0.85,sigmoid_g1.0,2023
39,39.0,0.85,sigmoid_g1.0,2023
40,40.0,0.7,sigmoid_g1.0,2023
41,41.0,0.75,sigmoid_g1.0,2023
42,42.0,0.75,sigmoid_g1.0,2023
43,43.0,0.8,sigmoid_g1.0,2023
44,44.0,0.75,sigmoid_g1.0,2023
45,45.0,0.9,sigmoid_g1.0,2023
46,46.0,0.9,sigmoid_g1.0,2023
47,47.0,0.8,sigmoid_g1.0,2023
48,48.0,0.8,sigmoid_g1.0,2023
49,49.0,0.7,sigmoid_g1.0,2023
50,50.0,0.8,sigmoid_g1.0,2023
51,51.0,0.9,sigmoid_g1.0,2023
52,52.0,0.7,sigmoid_g1.0,2023
53,53.0,0.75,sigmoid_g1.0,2023
54,54.0,0.95,sigmoid_g1.0,2023
55,55.0,0.7,sigmoid_g1.0,2023
56,56.0,0.8,sigmoid_g1.0,2023
57,57.0,0.8,sigmoid_g1.0,2023
58,58.0,0.8,sigmoid_g1.0,2023
59,59.0,0.85,sigmoid_g1.0,2023
60,60.0,0.6,sigmoid_g1.0,2023
61,61.0,0.65,sigmoid_g1.0,2023
62,62.0,0.85,sigmoid_g1.0,2023
63,63.0,0.8,sigmoid_g1.0,2023
64,64.0,0.7,sigmoid_g1.0,2023
65,65.0,0.7,sigmoid_g1.0,2023
66,66.0,0.55,sigmoid_g1.0,2023
67,67.0,0.75,sigmoid_g1.0,2023
68,68.0,0.7,sigmoid_g1.0,2023
69,69.0,0.7,sigmoid_g1.0,2023
70,70.0,0.8,sigmoid_g1.0,2023
71,71.0,0.95,sigmoid_g1.0,2023
72,72.0,1.0,sigmoid_g1.0,2023
73,73.0,0.9,sigmoid_g1.0,2023
74,74.0,0.75,sigmoid_g1.0,2023
75,75.0,0.8,sigmoid_g1.0,2023
76,76.0,0.8,sigmoid_g1.0,2023
77,77.0,0.7,sigmoid_g1.0,2023
78,78.0,0.9,sigmoid_g1.0,2023
79,79.0,0.85,sigmoid_g1.0,2023
80,80.0,0.9,sigmoid_g1.0,2023
81,81.0,0.8,sigmoid_g1.0,2023
82,82.0,0.65,sigmoid_g1.0,2023
83,83.0,0.75,sigmoid_g1.0,2023
84,84.0,0.65,sigmoid_g1.0,2023
85,85.0,0.8,sigmoid_g1.0,2023
86,86.0,0.95,sigmoid_g1.0,2023
87,87.0,0.8,sigmoid_g1.0,2023
88,88.0,0.95,sigmoid_g1.0,2023
89,89.0,0.65,sigmoid_g1.0,2023
90,90.0,0.7,sigmoid_g1.0,2023
91,91.0,0.7,sigmoid_g1.0,2023
92,92.0,0.85,sigmoid_g1.0,2023
93,93.0,0.9,sigmoid_g1.0,2023
94,94.0,0.85,sigmoid_g1.0,2023
95,95.0,0.8,sigmoid_g1.0,2023
96,96.0,0.8,sigmoid_g1.0,2023
97,97.0,0.7,sigmoid_g1.0,2023
98,98.0,0.95,sigmoid_g1.0,2023
99,99.0,0.85,sigmoid_g1.0,2023
